range,from_id,to_id,tx1,rx1,tx2,rx2,tx3,rx3,fpp1,fpp2,skew1,skew2,r_iw_a_ifo001,q_ai_ifo001,r_iw_a_ifo002,q_ai_ifo002,r_iw_a_ifo003,q_ai_ifo003,gt_range,bias,pair,del_t1,del_t2,del_t3,del_t4,range_raw,bias_raw,tx1_raw,tx2_raw,tx3_raw,rx1_raw,rx2_raw,rx3_raw,std,timestamp
1.916247474705504,11,20,4989114383.904653,557518198.5412503,557822500.8941398,4989418698.515377,559361218.8428577,4990957413.785001,-80.7573013305664,-80.92220306396484,1.6875,-1.8690999746322632,[-0.05838207  0.0518695   0.12969157],[1.39388064e-02 2.51515454e-03 5.69996864e-04 9.99899524e-01],[0.02147298 2.25918792 0.1102483 ],[-0.0035434   0.00205105  0.0010545   0.99999106],[ 0.00996096 -2.03679725  0.14015494],[ 0.00760559 -0.00502776 -0.00221456  0.99995599],1.9444525124593912,-0.0282050377538871,"(11, 20)",304314.6221456528,304302.3681640625,1538715.2725610733,1538717.9487179518,1.9155000448226929,-0.0289524676366983,4989114383.826623,557822500.8138021,559361218.7625201,557518198.4456381,4989418698.448769,4990957413.72133,0.091643553205657,5.637758731842041
2.549961632118713,10,20,12216169407.946396,8927054085.838993,8927360914.355698,12216476253.28335,8928899632.304417,12218014970.247309,-89.0447998046875,-88.37940216064453,0.1490000039339065,-0.7310000061988831,[0.00258098 0.1072645  1.11989952],[ 0.02470019 -0.01473661 -0.35825081  0.93318134],[0.02801915 1.95291808 1.53060574],[-0.00242877 -0.00327836  0.85550999  0.51776382],[-0.06389481 -2.0579867   1.48014932],[0.00671742 0.00570567 0.82339902 0.5673932 ],2.320504167293098,0.2294574648256149,"(10, 20)",306845.6405239105,306828.2533302307,1538716.96276474,1538717.948719025,2.6349000930786133,0.3143959257855151,12216169407.865122,8927360914.27536,8928899632.22408,8927054086.02203,12216476253.505646,12218014970.46841,0.1849597165869229,14.01254916191101
2.0512196925124724,11,20,18623627645.12263,14259264536.23378,14259568935.189058,18623932057.530403,14261107653.137775,18625470774.28678,-85.23400115966797,-83.42510223388672,0.8166999816894531,-1.0002000331878662,[0.05223378 0.01154293 1.1230343 ],[ 0.00753203 -0.01483314 -0.85699942  0.5150485 ],[-0.01851382  2.00087269  1.50638049],[ 0.00493193  0.00599568  0.97952469 -0.20117275],[ 0.01685566 -2.05262357  1.47010717],[ 0.00347457 -0.00212129  0.952119   -0.30569911],2.083623499140591,-0.0324038066281184,"(11, 20)",304412.81049346924,304398.50635910034,1538716.7593154907,1538717.948719025,2.1786999702453613,0.0950764711047704,18623627645.0446,14259568935.10872,14261107653.05744,14259264536.602362,18623932057.85509,18625470774.61441,0.2003003642829715,19.347893238067627
3.425931164278053,10,20,27867058462.43335,24779589759.727303,24779896619.48377,27867365345.167736,24781435337.432484,27868904063.696693,-84.76940155029297,-83.34140014648438,-0.3874000012874603,0.3837000131607055,[-1.77981704  1.73009906  1.11803511],[0.01139488 0.01100209 0.58515953 0.81076164],[1.73724825 1.70988155 1.02990144],[-0.00950984 -0.0289097   0.60019924  0.79926976],[ 1.77056305 -1.75118383  1.4623905 ],[ 0.00349338 -0.00843283 -0.54385441  0.83912979],3.5066523956227096,-0.0807212313446563,"(10, 20)",306883.13801956177,306859.3030090332,1538718.5277671814,1538717.94871521,3.5543999671936035,0.0477475715708939,27867058462.35208,24779896619.40343,24781435337.352142,24779589760.10042,27867365345.490097,27868904064.017864,0.1997561537266502,29.893072605133057
4.226865402784368,11,20,35346402949.60942,31116479339.03958,31116783494.48362,35346707133.089806,31118322212.43234,35348245850.174835,-86.8053970336914,-86.10749816894531,0.0725999996066093,-0.134100005030632,[1.79029412 1.79462343 0.98307527],[ 0.0275686  -0.03051139 -0.08073925  0.99588608],[-1.15306038 -1.16523959  1.47934034],[-0.01160038 -0.01959811  0.98678699  0.16041331],[1.70737223 0.05291853 0.97647858],[ 0.00219204 -0.00654758  0.60296182  0.79773761],4.173585814430503,0.053279588353865,"(11, 20)",304183.8973617554,304155.05433654785,1538717.087966919,1538717.948719025,4.347599983215332,0.1740141687848293,35346402949.53139,31116783494.40328,31118322212.352,31116479339.348946,35346707133.42875,35348245850.51672,0.1925980720229756,36.26937007904053
2.2358466961428776,10,20,43015977460.83044,40062931289.99503,40063238037.75265,43016284223.724,40064776755.70136,43017822942.75376,-81.9906997680664,-81.47129821777344,-0.857699990272522,0.5932000279426575,[-0.31822164 -0.50552354  1.49883095],[-0.01759739  0.01697963  0.95908337 -0.28206426],[-1.72421409  1.79578508  1.49129299],[ 4.28542805e-02 -9.04141498e-04  2.39336025e-03  9.99078011e-01],[ 1.736867   -0.02026807  1.02664506],[ 0.01470352  0.05705198  0.96920921 -0.23908378],2.3268488935063854,-0.0910021973635077,"(10, 20)",306763.0239639282,306747.5304260254,1538719.0285720823,1538717.94871521,2.289400100708008,-0.0374487927983775,43015977460.74916,40063238037.67231,40064776755.62103,40062931290.14189,43016284223.773125,43017822942.8017,0.1440160207030624,45.24377012252808
3.613381594418049,11,20,49074657605.05782,44911952018.78688,44912258406.34228,49074964016.675896,44913797124.29099,49076502734.37128,-95.24659729003906,-96.14089965820312,0.1611000001430511,-0.2066999971866607,[-1.74012157 -1.78229347  1.48354941],[0.05520139 0.03277391 0.76972954 0.63512749],[-1.74885656  1.76638578  1.46849452],[ 0.004098   -0.0049612   0.48925667  0.87211509],[1.83475807 1.74992878 1.49298728],[ 0.00729866 -0.02686657 -0.36150922  0.93194267],3.827324522724172,-0.2139429283061238,"(11, 20)",306411.61796569824,306387.53255462646,1538717.6983184814,1538717.94871521,3.616699934005737,-0.2106245887184354,49074657604.97979,44912258406.26194,44913797124.210655,44911952018.729385,49074964016.59776,49076502734.29608,0.1866730578414322,50.12964057922363
3.846918644158392,10,20,55730966042.56091,52845125682.78828,52845431579.41901,55731271965.13725,52846970297.36773,55732810684.46436,-87.75879669189453,-88.87310028076172,-0.7702000141143799,0.7635999917984009,[ 1.7113633  -1.67838908  1.10926205],[ 0.01919845 -0.01124888  0.00875092  0.99971403],[1.74056941 1.77035138 0.96640165],[ 0.00684089 -0.00184941  0.99450733  0.10442527],[-1.77290216 -1.68145322  0.98795592],[-0.00972242  0.02723067  0.67970062  0.73291511],3.8081437890458174,0.0387748551125728,"(10, 20)",305922.8515625,305896.29344177246,1538719.325920105,1538717.94871521,3.938699960708618,0.1305561716627994,55730966042.47964,52845431579.33868,52846970297.28739,52845125683.04524,55731271965.3312,55732810684.65712,0.1858450846598983,58.13678812980652
2.174860398749849,11,20,62851611555.37801,58756121816.08984,58756426683.58554,62851916437.35868,58757965401.53426,62853455155.16361,-85.9834976196289,-86.28810119628906,-0.3910999894142151,-0.2653999924659729,[0.01576534 0.07411096 1.02470986],[ 0.0077087  -0.02071149  0.90022814 -0.43485686],[0.0063356  2.10182138 1.4397372 ],[-0.01169896 -0.01403922  0.94516754 -0.32607193],[ 0.03251962 -2.03682749  1.47064093],[-0.00456739 -0.00231678  0.99231831 -0.12359569],2.102894432149564,0.0719659666002847,"(11, 20)",304882.3899536133,304867.06855773926,1538717.8078689575,1538717.9487228394,2.300100088119507,0.1972056559699426,62851611555.29998,58756426683.5052,58757965401.453926,58756121816.436646,62851916437.68993,62853455155.4978,0.1941017542116047,64.10662150382996
2.399008408787736,11,20,65159467028.13438,61063977048.09474,61064283831.021385,65159773827.09778,61065822548.97011,65161312545.18441,-85.19049835205078,-83.61479949951172,-0.2291000038385391,0.2337000072002411,[ 0.07464861 -0.05724777  0.98909602],[-0.00337754  0.01715795  0.95217779 -0.30503967],[-0.00908602  1.95132124  1.49095275],[-4.52090237e-04  3.76418419e-03  8.89693790e-01 -4.56535351e-01],[ 0.06376123 -2.03802005  1.47340328],[-0.00885234 -0.00450231  0.87160657 -0.49010543],2.1241122875325367,0.2748961212551992,"(11, 20)",306799.3790054321,306782.4769592285,1538718.0895690918,1538717.9487228394,2.5285000801086426,0.4043877925761059,65159467028.05634,61064283830.94105,61065822548.88977,61063977048.46409,65159773827.43535,65161312545.52492,0.2003725705341014,66.41392588615417
1.578883816285603,10,20,72387626371.08617,69636203199.81694,69636508005.70068,72387931187.8351,69638046723.6494,72389469907.44391,-81.0291976928711,-80.68479919433594,-1.1380000114440918,0.4889000058174133,[-0.10084375 -0.00259326  0.2562381 ],[0.00283884 0.02467171 0.64446917 0.76422678],[-0.01506729  1.97134924  0.27959145],[-0.00488527  0.00520422  0.16164237  0.98682337],[ 0.07809073 -1.93065054  0.24629459],[ 0.00701998 -0.00667955 -0.33183137  0.94328895],1.787628580475978,-0.208744764190375,"(10, 20)",304816.7223815918,304805.84561157227,1538719.6076202393,1538717.94871521,1.580600023269653,-0.2070285572063248,72387626371.0049,69636508005.62035,69638046723.56906,69636203199.77473,72387931187.72728,72389469907.3349,0.0925070357116243,75.08575940132141
