range,from_id,to_id,tx1,rx1,tx2,rx2,tx3,rx3,fpp1,fpp2,skew1,skew2,r_iw_a_ifo001,q_ai_ifo001,gt_range,bias,pair,del_t1,del_t2,del_t3,del_t4,range_raw,bias_raw,tx1_raw,tx2_raw,tx3_raw,rx1_raw,rx2_raw,rx3_raw,std,timestamp
3.432071045164991,10,4,4995529439.99764,24731799.314572625,25036130.717527688,4995833794.606497,26574848.66624564,4997372514.085784,-84.77549743652344,-85.75859832763672,-0.8456000089645386,0.6556000113487244,[0.07100069-0.001018990.74982995],[-0.00681165-0.026856880.576573410.81657538],3.4177732952133866,0.0142977499516043,"(10,4)",304355.0461997986,304330.91383713856,1538719.4980716703,1538717.948717948,3.5703001022338867,0.1525268070205001,4995529439.916367,25036130.62149439,26574848.57021233,24731799.70765725,4995833794.962566,4997372514.460638,0.1983087634140189,5.3095667362213135
3.4175779448326016,10,4,7478244263.715602,20436683.25585344,20740946.42265589,7478548550.04413,22279664.371373843,7480087269.789468,-84.45559692382812,-86.19020080566406,-1.4146000146865845,0.7254999876022339,[0.07090974-0.000932860.74983705],[-0.00679246-0.026891610.576507990.8166198],3.4176840808819766,-0.000106136049375,"(10,4)",304286.7494239807,304262.6796624623,1538719.7641220093,1538717.948717948,3.552999973297119,0.1353158924151425,7478244263.634329,20740946.3266226,22279664.275340542,20436683.646960136,7478548550.383753,7480087270.147875,0.1983186660704887,7.86355996131897
3.4667580277585737,10,4,10095955449.61305,16704959.278352307,17009808.60214307,10096260322.34993,18548526.550861023,10097799041.704016,-85.03469848632812,-86.2218017578125,-1.6390999555587769,0.9965000152587892,[0.07075015-0.001233680.75115569],[-0.00174934-0.014512160.578645740.81542764],3.4173277084099074,0.0494303193486662,"(10,4)",304873.1564254761,304848.8362630196,1538719.372871399,1538717.9487179518,3.602099895477295,0.1847721870673875,10095955449.531776,17009808.506109774,18548526.45482773,16704959.669846756,10096260322.688202,10097799042.061071,0.1967623253059289,10.536605834960938
3.4803093587593787,10,4,12484672725.25409,52845214.09750283,53149912.768809736,12484977447.441175,54688630.71752769,12486516166.857862,-84.21179962158203,-85.92160034179688,-1.1790000200271606,0.96670001745224,[0.07036502-0.001408440.75281671],[0.004975110.003759070.580770850.81404318],3.416671280791601,0.0636380779677776,"(10,4)",304722.6186885834,304698.1889773607,1538719.4354724884,1538717.9487179518,3.616699934005737,0.2000286532141357,12484672725.172815,53149912.67277644,54688630.62149439,52845214.48379908,12484977447.791504,12486516167.226976,0.1992635421671733,13.005786180496216
3.436629500201352,10,4,14812254263.71564,27849736.52984969,28155577.832912304,14812560128.212976,29694295.78163025,14814098847.473164,-84.68049621582031,-86.59980010986328,-1.4118000268936155,0.6416000127792358,[0.0709987-0.000954890.74994066],[-0.00649198-0.02624670.577112870.81621669],3.417635280060709,0.0189942201406423,"(10,4)",305864.8994636536,305840.81405248493,1538719.2789726255,1538717.948717948,3.5696001052856445,0.151964825224935,14812254263.634363,28155577.73687901,29694295.68559696,27849736.92282652,14812560128.533829,14814098847.8128,0.197009404113028,15.454302549362184
3.448437717614272,10,4,17137456234.869495,474600.12773154106,780585.8457328182,17137762243.935389,2319303.794450767,17139300963.571173,-84.34739685058594,-86.10870361328125,-1.3624999523162842,1.1174999475479126,[0.07107061-0.000809830.74905373],[-0.01062576-0.033453080.575703210.81690489],3.4178495725024205,0.0305881451118517,"(10,4)",306009.49018478394,305985.2326221956,1538719.6545715332,1538717.9487179487,3.5841000080108643,0.1662504355084437,17137456234.788223,780585.7496995192,2319303.698417468,474600.5170773237,17137762244.278408,17139300963.93298,0.1987045279384708,17.980824947357178
3.439723291789244,10,4,19643952124.292515,19960430.803527128,20266451.2303482,19644258167.92507,21805169.17906615,19645796887.13831,-84.21489715576172,-85.53230285644531,-1.0858999490737915,0.5690000057220459,[0.07043868-0.001130380.75067514],[-0.00116472-0.012054710.578503670.81558986],3.4173039989557155,0.0224192928335287,"(10,4)",306044.0767745972,306019.94441105425,1538719.2320213318,1538717.9487179518,3.578000068664551,0.1606960697088353,19643952124.211243,20266451.134314906,21805169.08303285,19960431.189903848,19644258168.288017,19645796887.52004,0.1997406933636844,20.6342716217041
3.46685691001132,10,4,22023233214.03605,46664345.41213106,46970289.37137384,22023539181.416264,48509007.32009179,22025077900.80165,-84.16069793701172,-85.3104019165039,-0.9797000288963318,0.5885000228881836,[0.07084577-0.001029090.7498596],[-0.00670565-0.026309660.577023930.81627431],3.417546497026472,0.0493104129848473,"(10,4)",305967.8297767639,305943.47831530124,1538719.40417099,1538717.9487179518,3.605700016021729,0.1881535189952567,22023233213.954777,46970289.27534054,48509007.224058494,46664345.79702524,22023539181.78456,22025077901.188725,0.2000379580560388,23.206472396850582
3.476670753170241,10,4,24619944888.71548,21933105.388675954,22239103.473937944,24620250910.274803,23777821.42265589,24621789629.59759,-84.72429656982422,-85.82039642333984,-1.4006999731063845,0.8203999996185303,[0.07057022-0.001293570.75196876],[0.00205094-0.003968510.580124740.81451348],3.417008429074468,0.0596623240957732,"(10,4)",306021.9945640564,305997.59615384415,1538719.341571808,1538717.9487179518,3.6145999431610094,0.1975915140865423,24619944888.634205,22239103.37790465,23777821.3266226,21933105.7817508,24620250910.62877,24621789629.97034,0.1983146167459636,25.885364532470703
3.4223392092981664,10,4,26983365922.369267,32777040.71955977,33086483.28163025,26983675388.096264,34625201.2303482,26985214107.669453,-84.38159942626953,-86.88839721679688,-1.169700026512146,0.9257000088691713,[0.07114935-0.001058790.74942374],[-0.00936723-0.031531680.576631220.81634136],3.417754384940027,0.0045848243581394,"(10,4)",309466.1145324707,309442.0760717131,1538719.591972351,1538717.948717948,3.5525999069213867,0.1348455219813598,26983365922.287994,33086483.18559696,34625201.1343149,32777041.10952524,26983675388.402527,26985214107.9945,0.1973689747976749,28.364728450775143
