range,from_id,to_id,tx1,rx1,tx2,rx2,tx3,rx3,fpp1,fpp2,skew1,skew2,r_iw_a_ifo001,q_ai_ifo001,r_iw_a_ifo002,q_ai_ifo002,r_iw_a_ifo003,q_ai_ifo003,gt_range,bias,pair,del_t1,del_t2,del_t3,del_t4,range_raw,bias_raw,tx1_raw,tx2_raw,tx3_raw,rx1_raw,rx2_raw,rx3_raw,std,timestamp
2.162530002734795,21,11,3650254039.565235,2437351167.6392674,2437655209.2251663,3650558094.942903,2439193927.1738844,3652096809.65566,-84.77290344238281,-85.82369995117188,2.1624999046325684,-2.382299900054932,[-0.05840636  0.05196034  0.12979731],[1.40679834e-02 2.56285787e-03 5.24890494e-04 9.99897601e-01],[0.02159895 2.25928767 0.11041596],[-0.00343428  0.00213288  0.00127249  0.99999102],[ 0.01001211 -2.03679129  0.14025259],[ 0.00771768 -0.00508121 -0.00216424  0.99995497],2.220493048559863,-0.0579630458250681,"(21, 11)",304056.2869338989,304041.1376953125,1538714.4431090355,1538717.948718071,2.3738999366760254,0.1534068881161623,3650254039.275339,2437655209.147136,2439193927.0958543,2437351168.009441,3650558095.562273,3652096810.005382,0.1981961512036737,4.966994285583496
1.9336098984287453,20,11,6279241555.381327,4459709217.081208,4460052268.520035,6279584620.289572,4461590986.468753,6281123340.776533,-80.48059844970703,-81.0510025024414,-2.376699924468994,1.6232000589370728,[-0.0582398   0.05175581  0.12969441],[0.0089606  0.00554169 0.00138988 0.99994348],[0.02134671 2.2593385  0.11046174],[-0.00328492  0.00329836  0.00107708  0.99998769],[ 0.01050122 -2.03692444  0.14049683],[ 2.22939018e-03 -7.16365273e-03 -6.24150370e-04  9.99969335e-01],1.9455474422943329,-0.0119375438655873,"(20, 11)",343064.9507961273,343051.5074119568,1538720.484024048,1538717.948718071,1.929800033569336,-0.0157474087249966,6279241555.300989,4460052268.442005,4461590986.390723,4459709216.934593,6279584620.251785,6281123340.735809,0.0868774753323069,6.992856979370117
1.7064797796705136,20,11,20265864167.5608,18379100122.545498,18379453398.327763,20266217454.85732,18380992116.27648,20267756173.356724,-81.77220153808594,-82.00180053710938,-0.5112000107765198,0.4562999904155731,[-0.20506505  0.24578446  1.12836745],[ 0.00329488 -0.04658346 -0.86407552  0.50119114],[0.36485616 1.9992936  1.17539033],[ 0.01881955 -0.00934328  0.92689124 -0.3747394 ],[ 0.48686396 -1.98856993  1.47260861],[-0.01766756  0.02022509 -0.80028819  0.59901335],1.6823034386819056,0.0241763409886079,"(20, 11)",353287.5256652832,353275.6003341675,1538718.4964675903,1538717.948719025,1.768100023269653,0.0857965845877475,20265864167.48046,18379453398.249733,18380992116.19845,18379100122.6494,20266217455.006126,20267756173.5026,0.1521964155742206,20.976043701171875
3.71136908887233,21,11,34080710602.064907,33069476875.177265,33069782476.85306,34081016228.58925,33071321194.80178,34082554946.948463,-84.7406997680664,-86.7238998413086,-0.1462000012397766,0.2924000024795532,[1.53463683 1.8051869  0.9794032 ],[ 1.86275890e-02  2.27897091e-04 -1.04591156e-01  9.94340700e-01],[-0.88103064 -0.89170938  1.48129657],[-0.01722797 -0.0414281   0.97530109  0.21627431],[1.70550822 0.04811979 0.98122018],[-2.73420111e-04 -2.27072842e-03  6.17446472e-01  7.86603266e-01],3.845985387802725,-0.1346162989303945,"(21, 11)",305627.39445495605,305601.2275886536,1538718.0895690918,1538717.948719025,3.916899919509888,0.0709145317071637,34080710601.77501,33069782476.775032,33071321194.72375,33069476875.547443,34081016229.169464,34082554947.25904,0.1966099157837705,35.69652557373047
5.216217682113349,20,11,36466311659.5476,34848407369.93734,34848774007.30174,36466678331.80031,34850312725.250465,36468217050.08061,-90.79869842529295,-90.44950103759766,-0.3025999963283539,0.1639000028371811,[1.71759003 1.82044169 0.98365023],[ 0.01842267  0.01650001 -0.17249346  0.9846989 ],[-1.72885335 -1.73245447  1.48365016],[ 0.02037851  0.03198431  0.99888697 -0.02803842],[1.71735386 0.02368486 0.96339119],[-0.00371295 -0.01641456  0.75859463  0.65134329],5.06886329483233,0.1473543872810188,"(20, 11)",366672.4415359497,366637.1976394653,1538718.2773666382,1538717.9487228394,5.269599914550781,0.2007366197184508,36466311659.46726,34848774007.22371,34850312725.17243,34848407370.02607,36466678331.9088,36468217050.186165,0.1833948894464483,37.51577758789063
4.485767337359113,21,11,47822551747.89792,46945746700.23705,46946051627.493774,47822856704.398544,46947590345.44249,47824395418.86089,-86.3832015991211,-85.62799835205078,-0.5037999749183655,0.0623000003397464,[-1.75742224 -1.78838964  1.49473887],[ 0.01226024 -0.00642621  0.81458967  0.57987237],[-1.74742045  1.75191343  1.45327982],[ 0.00425593 -0.00378404  0.38620822  0.92239403],[1.81690893 1.74929119 1.49620237],[-0.01188591 -0.01455221 -0.43835795  0.8986036 ],3.7673664819535233,0.7184008554055898,"(21, 11)",304957.41624450684,304926.8517150879,1538714.192703247,1538717.94871521,4.691599845886231,0.924233363932708,47822551747.608025,46946051627.41574,46947590345.364456,46945746700.564026,47822856705.02427,47824395419.21697,0.1948120160442717,49.66761350631714
3.911534341692776,20,11,49983001451.21395,48297879343.57336,48298184560.18605,49983306693.91758,48299723278.134766,49984845411.80663,-82.69229888916016,-83.18840026855469,-0.1731999963521957,-0.1563999950885772,[-1.33398731 -1.82254436  1.22852981],[0.02287098 0.02678766 0.69188604 0.72114699],[-1.32280548  1.85452815  1.13871539],[ 0.02694779 -0.01437378  0.63531704  0.77164649],[1.56546145 1.55036364 1.14761796],[ 0.01783979 -0.00965624 -0.33909976  0.94053138],3.998157973718505,-0.0866236320257289,"(20, 11)",305243.0920715332,305216.28355407715,1538717.8861160278,1538717.94871521,4.019100189208984,0.0209422154904794,49983001451.13361,48298184560.10802,48299723278.05673,48297879343.82446,49983306694.225685,49984845412.1118,0.1879134655878842,51.037410259246826
2.2041278247108576,21,11,61350101499.50017,60674940878.213776,60675244680.37807,61350405316.45428,60676783398.32678,61351944034.81349,-80.53489685058594,-81.5625,-0.2104000002145767,0.06700000166893,[ 0.21368883 -0.06395341  1.01768381],[-0.01130961 -0.0120972   0.88018115 -0.4743478 ],[-0.08633406  2.12642298  1.43699161],[ 0.03207934 -0.03917499  0.97769204 -0.20384595],[ 0.03569648 -2.05531046  1.47301816],[-0.02764325  0.00448528  0.99766834  0.06219316],2.1059566485047214,0.0981711762061361,"(21, 11)",303817.5768737793,303802.2241821289,1538718.0895690918,1538717.94871521,2.2964000701904297,0.1904434216857082,61350101499.21027,60675244680.30003,60676783398.24875,60674940878.07585,61350405316.78715,61351944034.87672,0.102504528776572,63.47483682632446
2.081986305851029,20,11,64224855938.39311,62674167368.27235,62674549167.55751,64225237751.541626,62676087885.50623,64226776469.36809,-85.96499633789062,-87.3135986328125,-0.1955000013113021,-0.2224999964237213,[ 0.03874871 -0.0132676   0.99974406],[-0.00955398  0.01022715  0.91285369 -0.40804686],[-0.00850662  1.98489836  1.46577789],[ 0.00826975 -0.0116587   0.89070313 -0.45435989],[ 0.03951847 -2.0746467   1.48938841],[ 1.30600593e-03 -1.51572540e-04  9.03148584e-01 -4.29325938e-01],2.050176339794011,0.0318099660570183,"(20, 11)",381813.5109863281,381798.8625564575,1538717.823524475,1538717.94871521,2.199700117111206,0.1495237773171949,64224855938.312775,62674549167.47948,62676087885.42819,62674167368.61692,64225237751.82376,64226776469.647285,0.191915816487123,65.48747897148132
2.023618549602709,21,11,63751958670.97447,63076797352.3807,63077101074.60878,63752262406.80012,63078639792.557495,63753801125.22194,-81.5165023803711,-82.80789947509766,-0.6919000148773193,0.1898999959230423,[ 0.07159584 -0.03547552  0.99256161],[-0.01163547  0.01667398  0.91721251 -0.39787825],[-0.0216706   1.96552373  1.48166602],[ 3.35464992e-03 -1.87060883e-04  8.89446791e-01 -4.57026324e-01],[ 0.06607046 -2.06128079  1.48488074],[-0.00873362 -0.00205929  0.89662859 -0.44269213],2.07596143813202,-0.0523428885293104,"(21, 11)",303736.6505126953,303722.0959777832,1538718.152175903,1538717.94871521,2.1749000549316406,0.0989386167996206,63751958670.68458,63077101074.53075,63078639792.47946,63076797352.43477,63752262407.33509,63753801125.48727,0.1625297828433074,65.89010524749756
