range,from_id,to_id,tx1,rx1,tx2,rx2,tx3,rx3,fpp1,fpp2,skew1,skew2,r_iw_a_ifo001,q_ai_ifo001,r_iw_a_ifo002,q_ai_ifo002,r_iw_a_ifo003,q_ai_ifo003,gt_range,bias,pair,del_t1,del_t2,del_t3,del_t4,range_raw,bias_raw,tx1_raw,tx2_raw,tx3_raw,rx1_raw,rx2_raw,rx3_raw,std,timestamp
4.315533391115048,21,31,8338051219.052434,6649265671.539461,6649572012.049888,8338357587.679606,6651110729.998606,8339896302.202551,-90.02559661865234,-89.39730072021484,2.1559998989105225,-2.025599956512451,[-0.20427943  0.06398808  0.98883082],[0.01765155 0.02368294 0.19084424 0.98117581],[0.07143164 2.25540753 1.03130088],[ 0.01351874 -0.00298006  0.2330849   0.97235779],[ 0.16227745 -1.96422532  0.9973692 ],[ 0.00627261 -0.01263476  0.19438723  0.98082341],4.2111962387531445,0.1043371523619036,"(21, 31)",306369.34720516205,306340.4415817261,1538714.17705822,1538717.948718071,4.443999767303467,0.2328035285503222,8338051218.762538,6649572012.03176,6651110729.980478,6649265671.5901785,8338357588.109743,8339896302.286801,0.1837090421259538,9.655603408813477
3.861361344090892,20,31,10311215938.394169,7948569660.761674,7948876106.601176,10311522410.20752,7950414824.549894,10313061129.19007,-91.98560333251952,-91.25550079345705,-0.8464999794960022,0.5224000215530396,[-0.0249127  -0.00214268  1.08354174],[0.00146997 0.00290533 0.09229273 0.99572567],[0.01214382 1.94907593 1.38652909],[-0.01353682  0.00408981  0.4431494   0.89633538],[ 0.00494983 -1.9662556   1.33495147],[9.18012100e-03 1.52611368e-04 3.55526286e-01 9.34620371e-01],3.951622281423189,-0.0902609373322969,"(20, 31)",306471.9645175934,306445.8602514267,1538718.903371811,1538717.948718071,3.88319993019104,-0.0684223512321491,10311215938.31383,7948876106.583049,7950414824.531767,7948569660.722797,10311522410.278349,10313061129.18172,0.1836414867025292,11.023133277893066
3.633633334356319,21,31,23222296803.98824,21533539392.66108,21533878686.72933,23222636121.76676,21535417404.678043,23224174837.275658,-85.2301025390625,-85.72370147705078,1.6819000244140625,-1.8523999452590945,[-1.73679956  1.75315267  1.11377477],[ 0.01492979 -0.02005718  0.98078343  0.19348463],[1.68600073 1.71133474 0.99698596],[-0.00818651  0.01052848 -0.35622336  0.9343053 ],[ 1.66727942 -1.74724202  1.45582443],[-0.02077049  0.0059132  -0.83298978  0.55286634],3.6527766343111634,-0.0191432999548442,"(21, 31)",339318.69115448,339293.7606430054,1538715.1630096436,1538717.94871521,3.827899932861328,0.1751232985501647,23222296803.69834,21533878686.7112,21535417404.65992,21533539392.95056,23222636122.389496,23224174837.552505,0.1973085767456653,24.68916869163513
3.186338808530539,20,31,25503279736.47093,23140640752.17062,23140946531.28057,25503585536.440105,23142485249.22929,25505124252.355247,-85.9845962524414,-85.00969696044922,1.0830999612808228,-1.830000042915344,[-1.74166665  1.67198799  1.12806514],[0.00326413 0.00611653 0.83877996 0.54442494],[1.75305137 1.7670522  0.99209863],[ 3.04530229e-03  2.65808294e-04 -2.08988142e-01  9.77913305e-01],[ 1.79918307 -1.77963133  1.46563272],[ 0.00275553 -0.01830698 -0.73079972  0.68234034],3.253750863030005,-0.0674120544994658,"(20, 31)",305800.4212989807,305778.8242416382,1538715.8359642029,1538717.948719025,3.2992000579833984,0.0454491949533935,25503279736.390594,23140946531.262444,23142485249.211163,23140640752.4382,25503585536.811893,25505124252.647858,0.1973087811937531,26.38346672058105
3.775384963712379,21,31,38570015618.09044,37015715682.82912,37016076098.58794,38570376058.49765,37017614816.53666,38571914774.1161,-89.2699966430664,-88.01640319824219,1.245100021362305,-1.47979998588562,[1.72866323 1.76711526 1.09608589],[ 0.0800324  -0.02463103 -0.32988267  0.94030047],[-1.71149361 -1.70625514  1.50082986],[-0.03962231 -0.07159592 -0.8408436   0.53504662],[ 1.69025985 -0.07307742  0.98106522],[0.02075903 0.00619848 0.98522507 0.1698838 ],3.5768748825236947,0.1985100811886844,"(21, 31)",360441.2059326172,360415.6494140625,1538715.2725601196,1538717.94871521,3.9235999584198,0.3467250758961051,38570015617.80055,37016076098.56982,37017614816.51853,37015715682.9204,38570376059.00648,38571914774.27904,0.1851522047448136,40.30035328865051
3.9059368468665134,20,31,40865185289.35519,38569785238.82063,38570090265.25457,40865490341.287,38571628983.20329,40867029056.37268,-87.33090209960938,-88.5363998413086,1.7015000581741333,-1.7257000207901,[1.05055069 1.13903229 1.43404514],[ 0.02892014 -0.0071339  -0.58402387  0.81118883],[-1.84335165 -0.59628873  1.49577634],[-0.00710485 -0.00580225 -0.6413443   0.7671972 ],[ 1.76090382 -0.1034818   0.95984857],[ 0.00994187  0.00902285  0.98829025 -0.15194676],3.978976329141311,-0.0730394822747975,"(20, 31)",305052.2241897583,305026.21381378174,1538715.0065078735,1538717.9487228394,3.984999895095825,0.0060235659545142,40865185289.27485,38570090265.23644,38571628983.185165,38569785239.02263,40865490341.49904,40867029056.50555,0.1868828193047409,41.91638517379761
1.1169686053891807,21,31,51926145682.192696,50439081986.88815,50439387580.95943,51926451283.35138,50440926298.90814,51927989999.45498,-81.05439758300781,-80.83489990234375,1.3288999795913696,-1.7424999475479126,[ 0.41460598 -1.78138036  1.1283814 ],[0.02229107 0.01276222 0.62923471 0.77679031],[0.68351973 1.73755031 0.9734728 ],[0.02333394 0.00687705 0.77800081 0.62778514],[0.1934909  0.36026742 0.98278329],[ 0.00185521 -0.01812707  0.26863568  0.96306856],1.2546084980305303,-0.1376398926413495,"(21, 31)",305601.6344909668,305594.1694259644,1538715.757713318,1538717.94871521,1.1837999820709229,-0.0708085159596074,51926145681.9028,50439387580.9413,50440926298.890015,50439081986.77187,51926451283.53729,51927989999.295006,0.0978997394532204,53.78247427940369
3.2496944639166108,20,31,54179583013.71385,51951423044.34032,51951729447.94657,54179889438.37691,51953268165.89529,54181428153.165245,-83.2384033203125,-83.76940155029297,1.6306999921798706,-1.583199977874756,[ 1.45292134 -1.71065738  1.11726131],[0.0223977  0.00777958 0.3797917  0.9247671 ],[1.73037005 1.69828162 0.947383  ],[-0.02989423 -0.0163235   0.85682198  0.51448577],[-0.58726771 -0.17366342  0.94913784],[ 0.01048209 -0.02430758  0.37926987  0.92490711],3.3069564696838225,-0.0572620057672117,"(20, 31)",306425.0926513672,306403.3547439575,1538714.709159851,1538717.94871521,3.354099988937378,0.0471435192535554,54179583013.63352,51951729447.92845,51953268165.87716,51951423044.5737,54179889438.726166,54181428153.435326,0.1964547215537542,55.31518340110779
4.0300350858366825,21,31,68558691435.39744,67340519905.94342,67340826010.44621,68558997566.32711,67342364728.39493,68560536281.9299,-91.82769775390624,-92.32479858398438,1.204200029373169,-1.4593000411987305,[-0.00382266 -0.08376371  0.98278711],[7.32246324e-05 1.80186921e-02 9.42934764e-01 3.32487445e-01],[-0.03556134  1.99995317  1.46017885],[-0.00495621  0.00945208 -0.50087601  0.86545192],[ 0.01331886 -1.98516684  1.48759851],[ 0.00684665  0.00938411 -0.70307553  0.71101951],4.068210815284802,-0.0381757294481195,"(21, 31)",306131.5135498047,306104.51722717285,1538715.256904602,1538717.94871521,4.12559986114502,0.0573890458602184,68558691435.10754,67340826010.428085,67342364728.3768,67340519905.91086,68558997566.62109,68560536281.878,0.1838918507103536,70.75577020645142
3.5371668616399115,20,31,70894444552.175,68733534229.00719,68733840305.31798,70894750651.41185,68735379023.2667,70896289365.94978,-83.57019805908203,-83.11859893798828,2.095400094985962,-2.0078999996185303,[-0.03888236 -0.09841086  0.98630345],[0.01655806 0.02677952 0.88755359 0.45961726],[-0.01085058  2.03893413  1.44821388],[ 0.00273225 -0.00382287  0.0718854   0.99740094],[ 0.02099264 -1.98009519  1.49272395],[ 2.87437555e-04  7.72867466e-03 -4.61863089e-01  8.86917306e-01],3.6957041782214617,-0.1585373165815502,"(20, 31)",306099.61877441406,306076.0341491699,1538714.4587554932,1538717.94871521,3.638200044631958,-0.0575041335895036,70894444552.09467,68733840305.29985,68735379023.24857,68733534229.2657,70894750651.71344,70896289366.1722,0.19465896636749,72.21261858940125
