range,from_id,to_id,tx1,rx1,tx2,rx2,tx3,rx3,fpp1,fpp2,skew1,skew2,r_iw_a_ifo001,q_ai_ifo001,r_iw_a_ifo002,q_ai_ifo002,r_iw_a_ifo003,q_ai_ifo003,gt_range,bias,pair,del_t1,del_t2,del_t3,del_t4,range_raw,bias_raw,tx1_raw,tx2_raw,tx3_raw,rx1_raw,rx2_raw,rx3_raw,std,timestamp
4.70151979958137,11,2,56243911.14824239,26915754.50917504,27299480.066984072,56627670.28692099,28838198.01570202,58166397.082762174,-86.35169982910156,-86.32039642333984,-6.05079984664917,5.505000114440918,[-0.0583616   0.05195582  0.12972056],[1.40186360e-02 2.58909856e-03 4.81414679e-04 9.99898263e-01],[0.02160986 2.25931845 0.11050571],[-0.00340998  0.00229301  0.00141482  0.99999056],[ 0.00984598 -2.03695007  0.14003171],[ 5.76839366e-03 -5.03068859e-03 -7.22881734e-04  9.99973436e-01],4.757016391751552,-0.0554965921701819,"(11, 2)",383759.5465244353,383725.1320863366,1538726.806640625,1538717.948717948,4.826000213623047,0.0689838218714946,56243911.07021234,27299479.98046875,28838197.92918669,26915754.848382413,56627670.61673678,58166397.4233774,0.1931097675351352,0.7092134952545166
4.368523205513892,10,2,133361755.70276786,36606668.19859545,36910882.31057382,133666000.85013334,38449600.25929177,135204728.32305428,-82.19560241699219,-82.2333984375,-6.532199859619141,6.100100040435791,[-0.05844698  0.05189155  0.12973651],[1.39071278e-02 2.54110674e-03 5.32226323e-04 9.99899920e-01],[0.02149324 2.25916208 0.11035212],[-0.00346361  0.00200563  0.00124367  0.99999122],[ 0.00992685 -2.03679782  0.14025445],[ 0.00757099 -0.00505394 -0.00222454  0.99995609],4.348432619548558,0.0200905859653337,"(10, 2)",304245.417668283,304213.8358874172,1538727.479592353,1538717.9487179518,4.450200080871582,0.1017674613230239,133361755.62149438,36910882.224058494,38449600.172776446,36606668.38817108,133666001.03916268,135204728.51875502,0.1665907086368868,1.7117507457733154
4.391159715582869,11,2,14059869936.789314,49444715.24824524,49750690.00288151,14060175942.77782,51289407.95159946,14061714670.434412,-89.3947982788086,-91.46240234375,-6.577899932861328,5.829999923706055,[-0.02327081  0.09660508  1.11179213],[ 0.00709476  0.00815184 -0.44720383  0.89436656],[0.01909366 1.99967799 1.52569529],[ 0.00623428 -0.00251878  0.91239134  0.40925537],[-0.0626993  -2.06736596  1.48551943],[0.00331463 0.0015488  0.89405858 0.4479345 ],4.408687452666865,-0.0175277370839959,"(11, 2)",306006.12542533875,305974.4966947064,1538727.6673927307,1538717.9487179518,4.449999809265137,0.0413123565982713,14059869936.711285,49750689.91636618,51289407.86508413,49444715.41967148,14060175942.83671,14061714670.504105,0.1834299019310719,14.738761901855469
4.1325731106728405,10,2,13827109880.702814,18116772.47109756,18421731.669548176,13827414869.642752,19960449.618266124,13828953598.508524,-86.1063003540039,-86.59449768066406,-7.0528998374938965,7.348999977111816,[-0.00632327  0.06772616  1.12360952],[ 0.01100997 -0.01169198 -0.52864873  0.84868845],[0.01195108 2.04091939 1.53026703],[ 0.00422323 -0.00201678  0.95942752  0.28191586],[-0.05475355 -2.05581202  1.48407561],[ 0.00586594 -0.00298088  0.95721365  0.28930571],4.150198840060835,-0.0176257293879942,"(10, 2)",304989.3423233032,304958.7621444315,1538728.8724441528,1538717.948717948,4.257999897003174,0.1078010569423391,13827109880.62154,18421731.58303285,19960449.5317508,18116772.820888422,13827414869.963863,13828953598.836308,0.1930733610716668,15.634783029556274
7.071615838000244,11,2,29842775826.212112,36382503.35478199,36687276.54134305,29843080648.828583,38225994.49006099,29844619378.08148,-85.5208969116211,-85.20590209960938,-7.801599979400635,7.310800075531006,[-1.57962229  1.74126267  1.06291656],[0.02135475 0.03461805 0.43075159 0.9015529 ],[1.67578854 1.51362726 1.25064968],[-0.0181233  -0.07548483  0.72758047  0.68161292],[ 1.8017228  -1.51712893  1.21686957],[-0.01882952 -0.02328229 -0.44277419  0.89613191],6.628446182894871,0.4431696551053727,"(11, 2)",304823.0606460571,304772.73011819273,1538729.2636947632,1538717.9487179443,7.206200122833252,0.5777539399383809,29842775826.134083,36687276.454827726,38225994.40354567,36382503.72470953,29843080649.19473,29844619378.458424,0.1977959536129256,30.71961569786072
6.091994754752013,10,2,29449013486.47177,45689342.81667793,45993943.20800971,29449318130.01861,47532661.156727664,29450856860.605885,-89.25779724121094,-88.62239837646484,-8.608200073242188,8.118300437927246,[-1.1092462  1.7234371  1.0145468],[0.0091799  0.02819928 0.34439679 0.93835567],[1.3559237  1.04499652 1.38999067],[-0.02016328 -0.01125995  0.79781051  0.60246368],[ 1.84662957 -0.92089964  1.0508322 ],[-0.00261084 -0.01951136 -0.31737202  0.94809583],6.010868990103692,0.0811257646483207,"(10, 2)",304643.8363876343,304600.12582632154,1538730.5939483645,1538717.9487179518,6.174900054931641,0.1640310648279488,29449013486.390503,45993943.12149439,47532661.07021234,45689342.99566807,29449318130.22689,29450856860.82084,0.1845721209301964,31.49020195007324
3.710955209229482,11,2,44965913262.1092,35711226.67224289,36017725.25929177,44966219787.87118,37556443.20800971,44967758517.92223,-92.60710144042967,-92.79129791259766,-7.884500026702881,7.600500106811523,[-0.59796457 -0.87878876  1.50952945],[-0.02164046  0.00946837  0.96494672 -0.26137987],[-1.68764223  1.76757397  1.44425281],[ 0.00644685 -0.00858319  0.00562183  0.99992636],[1.75109548 0.30726015 1.2935834 ],[ 0.01963437  0.01541148  0.90862614 -0.41686049],3.8094041232771008,-0.0984489140476188,"(11, 2)",306525.84761047363,306498.4756861031,1538730.061843872,1538717.9487179443,3.7400999069213854,-0.0693042163557144,44965913262.031166,36017725.172776446,37556443.12149439,35711226.69709034,44966219787.87878,44967758517.94062,0.1843161098539692,45.95248889923096
4.6882941280920765,10,2,44357721170.766304,32224811.1037492,32530521.73365074,44358026915.22152,34069239.68236869,44359565645.94965,-91.2593994140625,-91.8856964111328,-8.952799797058105,8.508500099182129,[-0.91724042 -1.20049297  1.5142556 ],[-9.49304857e-03 -9.11326521e-04  9.96457356e-01 -8.35401037e-02],[-1.73868006  1.69394896  1.45592535],[-0.01160254 -0.00256281  0.13625581  0.99060202],[1.79163193 0.75557928 1.39339729],[-0.01062611 -0.02255171 -0.85771603  0.5135189 ],4.370521951509329,0.3177721765827472,"(10, 2)",305744.58195495605,305710.4648687914,1538730.734802246,1538717.948717948,4.731800079345703,0.3612781278363739,44357721170.68503,32530521.64713541,34069239.595853366,32224811.182266627,44358026915.26698,44359565646.001785,0.1836213677165574,46.632134675979614
1.9874855333209929,11,2,57823330449.6089,54692877.10690519,54997020.13108663,57823634608.25426,56535738.07980458,57825173338.13316,-82.69709777832031,-83.0353012084961,-8.43120002746582,7.740200042724609,[ 1.733024   -1.70622995  1.11020461],[ 0.01222286 -0.00858247 -0.1739616   0.98463897],[1.74561655 1.77675097 0.97238058],[ 0.00612896 -0.00297204  0.99717537  0.07479596],[-1.83191863 -1.78259495  0.9778002 ],[0.00705901 0.00851899 0.73866529 0.67397948],2.059475456176958,-0.0719899228559652,"(11, 2)",304159.0138015747,304142.6751552448,1538729.889694214,1538717.9487179518,2.094599962234497,0.0351245060575391,57823330449.53087,54997020.04457131,56535737.99328926,54692877.36941607,57823634608.54467,57825173338.434364,0.1863915994787663,58.98848056793213
1.7385077026663247,10,2,57418918406.342926,53324063.17613654,53628230.06698407,57419222587.429565,55166948.01570202,57420761318.502,-81.02850341796875,-81.18460083007812,-8.812100410461426,8.583000183105469,[ 1.74548202 -1.68710898  1.11660102],[ 0.0256799  -0.00838512 -0.41020316  0.91159342],[1.7609199  1.77785425 0.9927531 ],[-0.0042679  -0.00921849  0.96871831  0.2479527 ],[-1.76056823 -1.71989102  0.98157446],[ 7.74659713e-04 -1.20533613e-02  8.12665690e-01  5.82604623e-01],1.7527027113237337,-0.0141950086574089,"(10, 2)",304181.1585998535,304166.8388171047,1538731.0791015625,1538717.9487179518,1.7568000555038452,0.0040973441801115,57418918406.26165,53628229.98046875,55166947.9291867,53324063.141651645,57419222587.42025,57420761318.49935,0.1079138960503011,59.84335207939148
