range,from_id,to_id,tx1,rx1,tx2,rx2,tx3,rx3,fpp1,fpp2,skew1,skew2,r_iw_a_ifo001,q_ai_ifo001,gt_range,bias,pair,del_t1,del_t2,del_t3,del_t4,range_raw,bias_raw,tx1_raw,tx2_raw,tx3_raw,rx1_raw,rx2_raw,rx3_raw,std,timestamp
3.48574837788861,10,1,59305994.48481916,26605084.608997427,26909239.674994893,59610173.3231685,28447957.62371284,61148893.85685646,-80.83070373535156,-80.39340209960938,-1.8727999925613403,1.567399978637695,[-0.01521386 -0.00613051  0.12964245],[0.01217196 0.00158649 0.02426708 0.99963014],3.445221492599579,0.0405268852890308,"(10, 1)",304178.7641476393,304155.0699869804,1538720.5309745595,1538717.948717948,3.474100112915039,0.02887862031546,59305994.40354567,26909239.59585337,28447957.54457132,26605084.525866386,59610173.16769331,61148893.69866787,0.0788832766395342,0.370182991027832
3.668022640911428,11,1,355949335.8277296,54582855.41719061,54887621.0852513,356254126.3762279,56426339.03396925,357792846.35803646,-87.37989807128906,-85.77069854736328,-1.7099000215530396,1.2824000120162964,[-0.01497934 -0.00624811  0.12961514],[0.01107794 0.00140647 0.02357601 0.9996595 ],3.707258836662351,-0.0392361957509233,"(11, 1)",304790.9780648947,304765.3119991943,1538719.9832231402,1538717.9487179518,3.78570008277893,0.0784412461165793,355949335.74969953,54887621.006109774,56426338.954827726,54582855.69411058,356254126.7277644,357792846.7109876,0.1923190595550776,1.6694369316101074
3.5016492784611617,10,1,2462804359.869436,10308448.305551104,10612500.892943611,2463108436.335119,12151218.84166156,2464647156.868807,-80.35469818115234,-80.3198013305664,-1.7843999862670898,1.874699950218201,[-0.0149911  -0.00623269  0.12963692],[0.01074171 0.00184483 0.02309242 0.99967392],3.445289790605797,0.0563594878553646,"(10, 1)",304076.381585598,304052.67177484,1538720.530974865,1538717.948717948,3.4763998985290527,0.0311101079232556,2462804359.7881618,10612500.813802084,12151218.762520032,10308448.142027244,2463108436.169748,2464647156.700722,0.0681773640567922,2.9161581993103027
3.628745257764686,11,1,2856666523.3277297,1072911.8586045771,1376771.726276944,2856970407.803262,2915489.674994893,2858509127.738121,-86.93990325927734,-85.24559783935547,-1.469599962234497,1.5525000095367432,[-0.01503574 -0.00626022  0.12959772],[0.01098876 0.00107939 0.02382477 0.999655  ],3.707417734297026,-0.0786724765323394,"(11, 1)",303884.9189953804,303859.4876802885,1538719.936273098,1538717.9487179487,3.752000093460083,0.0445823591630576,2856666523.2497,1376771.6471354167,2915489.595853365,1072912.1594551282,2856970408.168695,2858509128.104968,0.1947061430682419,4.310451030731201
3.482518735082237,10,1,4977299680.382256,37792182.02867425,38096058.5852513,4977603580.692255,39634776.53396925,4979142301.241593,-80.04290008544922,-80.78970336914062,-1.875599980354309,1.5469000339508057,[-0.01514629 -0.0061902   0.12955288],[0.01108397 0.0012959  0.0236911  0.99965694],3.4451883818058504,0.0373303532763866,"(10, 1)",303900.30298519135,303876.6714242771,1538720.5466241837,1538717.9487179518,3.4642999172210693,0.0191115354152189,4977299680.300982,38096058.506109774,39634776.454827726,37792181.8346855,4977603580.603968,4979142301.150592,0.0701165251198303,5.5488386154174805
4.081762110066072,11,1,5379946787.750809,37342213.44786989,37648037.75191797,5380252639.728799,39186755.70063592,5381791359.867108,-83.45850372314453,-83.95120239257812,-1.6540000438690186,1.308500051498413,[-0.01962262 -0.00723131  0.15171909],[ 0.01578778 -0.01089655  0.03159993  0.99931626],3.704908277255949,0.3768538328101227,"(11, 1)",305852.4107322693,305823.89635917544,1538720.1397237778,1538717.9487179443,4.207600116729736,0.5026918394737869,5379946787.672779,37648037.672776446,39186755.62149439,37342213.77641727,5380252640.083511,5381791360.223235,0.1981910719463575,6.9641618728637695
3.3835053378095963,10,1,7559010938.395089,65275162.4122061,65579768.52114874,7559315567.601041,67118486.4698667,7560854288.166029,-81.98750305175781,-83.5708999633789,-1.8104000091552728,1.7862000465393066,[-0.15624862 -0.04512298  0.92258268],[0.01597468 0.01558207 0.25128327 0.96765616],3.254024726860537,0.1294806109490593,"(10, 1)",304629.6261520386,304605.8850410655,1538720.5622739792,1538717.9487179518,3.48009991645813,0.2260751895975929,7559010938.313816,65579768.442007214,67118486.39072517,65275162.55696615,7559315567.939968,7560854288.502242,0.1826204914469157,8.201026201248169
3.7483701177028776,11,1,7870722581.020053,41106926.611588754,41413125.89294361,7871028805.987751,42951843.84166156,7872567527.315463,-86.3279037475586,-84.4458999633789,-1.257200002670288,1.3904000520706177,[-0.06619176 -0.03141119  0.96239342],[0.01230807 0.00341849 0.20953457 0.97771749],3.5501009959732,0.1982691217296777,"(11, 1)",306225.4137868881,306198.8713191152,1538721.329126358,1538717.9487179443,3.876600027084351,0.3264990311111511,7870722580.942023,41413125.813802086,42951843.76252003,41106926.94248297,7871028806.35581,7872567527.684937,0.1981161537638739,9.51950478553772
3.183959782692962,10,1,9947507781.34382,33976380.192611955,34281539.35448207,9947812962.362024,35820257.30320002,9949351683.380863,-82.55860137939453,-82.55860137939453,-2.2751998901367188,1.9323999881744385,[-0.00270309  0.02389212  0.9574494 ],[0.01423185 0.01777066 0.11281505 0.99334859],3.1266072968105214,0.0573524858824407,"(10, 1)",305181.3370132446,305158.8479066491,1538721.0161266327,1538717.9487179518,3.2788000106811523,0.1521927138706309,9947507781.262548,34281539.27534054,35820257.224058494,33976380.42743389,9947812962.59956,9949351683.615686,0.1784551685294182,10.722416400909424
3.841850690371795,11,1,10300160169.16109,50749475.32887326,51053198.00832823,10300463918.003174,52591915.95704617,10302002638.610985,-82.36579895019531,-81.17400360107422,-1.9771000146865845,1.5887999534606934,[-0.0390246   0.03079874  0.95681645],[ 0.0191192   0.02304297 -0.08431618  0.99598899],3.4403674000627538,0.401483290309041,"(11, 1)",303748.9044971466,303722.3933293298,1538720.6092243197,1538717.9487179443,3.8940000534057617,0.4536326533430079,10300160169.08306,51053197.9291867,52591915.877904646,50749475.53585737,10300463917.987558,10302002638.596785,0.1443257993138751,12.087950706481934
