my_id,from_id,to_id,rx1,rx2,rx3,fpp1,fpp2,fpp3,skew1,skew2,skew3,fpp1_n,fpp2_n,skew1_n,skew2_n,rx1_raw,rx2_raw,rx3_raw,std,timestamp,tx1_n,rx1_n,tx2_n,rx2_n,tx3_n,rx3_n,range_n,bias_n,tx1_raw_n,rx1_raw_n,tx2_raw_n,rx2_raw_n,tx3_raw_n,rx3_raw_n,range_raw_n,bias_raw_n,gt_range_n,timestamp_n
11,20,5,185014825.1025316,185322056.750136,186860778.9254804,-80.47019958496094,-82.11820220947266,-83.19390106201172,-1.5077999830245972,1.7237999439239502,2.8694000244140625,-81.79409790039062,-82.2333984375,-5.3643999099731445,4.519700050354004,185014824.9543019,185322056.9160657,186860779.23114485,0.14701381128691,1.0834202766418457,122476771.7274731,22132495.368327487,22439704.664016463,122784007.5839716,23978422.61273441,124322732.09221174,3.783921897150291,0.0115684929703583,122476771.6471354,22132495.790139224,22439704.33944311,122784007.7718099,23978422.288161054,124322732.59089544,3.9265999794006334,0.1542465752207018,3.772353404179933,0.8354368209838867
31,20,2,-32885585.50117466,-32578901.522112,-31040174.51156544,-85.49510192871094,-81.23269653320312,-82.78019714355469,-1.575700044631958,5.400700092315674,5.954800128936768,-87.84649658203125,-87.2761001586914,-7.917099952697754,7.569699764251709,-32885585.217598155,-32578901.6019381,-31040174.32579628,0.1857268184270814,1.1936395168304443,380470217.2402936,10378922.54795982,10685585.83621484,380776922.8709639,12224303.784932788,382315652.12679833,6.007377276157135,0.0301405866993205,380470217.1599559,10378922.807742389,10685585.74969952,380776923.1551733,12224303.698417468,382315652.41887015,6.11359977722168,0.1363630877638648,5.977236689457815,1.0953781604766846
21,20,2,513239554.6669584,513546259.4153597,515084983.15753794,-81.21070098876953,-94.56320190429688,-95.3750991821289,-3.960900068283081,3.777400016784668,3.6013998985290527,-87.84649658203125,-87.2761001586914,-7.917099952697754,7.569699764251709,513239554.92851055,513546259.6404246,515084983.36400735,0.1965653914744537,1.2127048969268799,380470217.2402936,10378922.54795982,10685585.83621484,380776922.8709639,12224303.784932788,382315652.12679833,6.007377276157135,0.0301405866993205,380470217.1599559,10378922.807742389,10685585.74969952,380776923.1551733,12224303.698417468,382315652.41887015,6.11359977722168,0.1363630877638648,5.977236689457815,1.0953781604766846
30,20,2,369726780.4175232,370033461.6632929,371572186.9291145,-95.00050354003906,-82.44830322265625,-83.0073013305664,-2.789299964904785,3.666599988937378,4.891300201416016,-87.84649658203125,-87.2761001586914,-7.917099952697754,7.569699764251709,369726780.458108,370033461.9766626,371572187.3121995,0.2003786479824805,1.3205997943878174,380470217.2402936,10378922.54795982,10685585.83621484,380776922.8709639,12224303.784932788,382315652.12679833,6.007377276157135,0.0301405866993205,380470217.1599559,10378922.807742389,10685585.74969952,380776923.1551733,12224303.698417468,382315652.41887015,6.11359977722168,0.1363630877638648,5.977236689457815,1.0953781604766846
11,21,0,695498551.0663232,695802872.4518926,697341595.3675175,-84.32369995117188,-80.79979705810547,-82.23629760742188,2.1419999599456787,3.8434998989105225,3.2595999240875244,-84.50289916992188,-85.14929962158203,-1.3075000047683716,1.301900029182434,695498551.4322916,695802872.3614031,697341595.5528846,0.166855668085871,1.452867031097412,160782092.44985217,35468717.07432406,35773013.642345086,161086416.52136612,37311731.59106304,162625136.7381276,4.05422096994715,0.1010190745289874,160782092.15995592,35468717.35401642,35773013.6343149,161086417.15807793,37311731.58303285,162625137.01610076,4.246799945831299,0.2935980504131361,3.9532018954181622,1.3433334827423096
20,21,0,767394234.6772661,767698558.3099694,769237283.7650911,-81.64669799804688,-79.98400115966797,-81.22760009765625,3.970200061798096,4.914500236511231,5.20419979095459,-84.50289916992188,-85.14929962158203,-1.3075000047683716,1.301900029182434,767394234.7599909,767698558.1148587,769237283.7633964,0.0949157561790959,1.5924761295318604,160782092.44985217,35468717.07432406,35773013.642345086,161086416.52136612,37311731.59106304,162625136.7381276,4.05422096994715,0.1010190745289874,160782092.15995592,35468717.35401642,35773013.6343149,161086417.15807793,37311731.58303285,162625137.01610076,4.246799945831299,0.2935980504131361,3.9532018954181622,1.3433334827423096
10,21,0,628486973.8094404,628791294.322966,630330017.8053038,-102.34480285644533,-82.0271987915039,-83.28150177001953,1.747099995613098,3.081700086593628,3.824899911880493,-84.50289916992188,-85.14929962158203,-1.3075000047683716,1.301900029182434,628486973.6735026,628791294.4774138,630330018.1227463,0.2003773106642267,1.6380066871643066,160782092.44985217,35468717.07432406,35773013.642345086,161086416.52136612,37311731.59106304,162625136.7381276,4.05422096994715,0.1010190745289874,160782092.15995592,35468717.35401642,35773013.6343149,161086417.15807793,37311731.58303285,162625137.01610076,4.246799945831299,0.2935980504131361,3.9532018954181622,1.3433334827423096
11,21,5,1639475548.433861,1639780645.1344786,1641319367.2973,-84.33000183105469,-82.50700378417969,-84.19110107421875,2.2518999576568604,2.6393001079559326,2.880500078201294,-81.48480224609375,-81.95220184326172,-0.6463000178337097,0.6053000092506409,1639475548.7999556,1639780645.3607028,1641319367.660132,0.1973733982993138,2.3991522789001465,1104757180.5908778,65044356.01495396,65349432.22811902,1105062279.8354275,66888150.176836975,1106600998.6320634,3.4260902726436053,0.0337314362621561,1104757180.3009815,65044356.37645233,65349431.90354567,1105062280.2421372,66888149.85226362,1106600999.0829074,3.6319000720977774,0.2395412357163282,3.392358836381449,2.313638687133789
20,21,5,1711372907.499632,1711678008.1305175,1713216732.8891103,-81.1405029296875,-81.51940155029297,-82.60980224609375,3.526900053024292,4.987199783325195,4.724500179290772,-81.48480224609375,-81.95220184326172,-0.6463000178337097,0.6053000092506409,1711372907.480094,1711678008.1881018,1713216733.1323876,0.143483175936583,2.534303665161133,1104757180.5908778,65044356.01495396,65349432.22811902,1105062279.8354275,66888150.176836975,1106600998.6320634,3.4260902726436053,0.0337314362621561,1104757180.3009815,65044356.37645233,65349431.90354567,1105062280.2421372,66888149.85226362,1106600999.0829074,3.6319000720977774,0.2395412357163282,3.392358836381449,2.313638687133789
30,21,4,1756970508.036522,1757274704.0216055,1758813422.4442778,-97.57350158691406,-90.95539855957033,-91.40570068359376,0.9787999987602234,0.0763000026345253,0.5410000085830688,-81.79329681396484,-81.79019927978516,0.8549000024795532,-0.654699981212616,1756970508.0316014,1757274704.1985936,1758813422.601163,0.1841495568985513,2.6768901348114014,1362750369.6934423,35909029.81712469,36213214.05086102,1363054578.511778,37751931.99957897,1364593295.2674274,3.719376544412696,0.0153835342362125,1362750369.403546,35909029.947916664,36213213.954827726,1363054578.8887222,37751931.90354567,1364593295.397637,3.860599994659424,0.1566069844829405,3.7039930101764833,2.564934492111206
