range,from_id,to_id,tx1,rx1,tx2,rx2,tx3,rx3,fpp1,fpp2,skew1,skew2,r_iw_a_Husky,q_ai_Husky,gt_range,bias,pair,del_t1,del_t2,del_t3,del_t4,range_raw,bias_raw,tx1_raw,tx2_raw,tx3_raw,rx1_raw,rx2_raw,rx3_raw,std,timestamp,Time
4.350834521578552,30,11,31487172.441270348,41872110.254150614,42176058.584139824,31791149.60808778,43714776.532857776,33329866.55685833,-86.0427017211914,-85.65679931640625,0.6556000113487244,-0.4945000112056732,[0. 0. 0.],[0. 0. 0. 1.],7.571905669829235,-3.064905700346813,"(30, 11)",303977.77068309113,303947.9104066491,1538716.8532151468,1538717.9487179518,4.506999969482422,-3.064905700346813,31487172.288161058,42176058.506109774,43714776.454827726,41872110.595703125,31791150.05884415,33329866.912059296,0.1955199489843556,1770934789.756859,1770934789.756859
3.845840262536,31,11,28036130.63962225,36745663.62727741,37051298.96875521,28341791.708052382,38590016.91747316,29880509.971782185,-86.04850006103516,-86.66680145263672,-0.6881999969482422,0.232800006866455,[0. 0. 0.],[0. 0. 0. 1.],7.134872913579898,-3.1902728082942526,"(31, 11)",305661.32374298945,305634.9221253991,1538718.3399689496,1538717.9487179518,3.944600105285645,-3.1902728082942526,28036130.62149439,37051298.89072516,38590016.83944311,36745663.96859976,28341791.94523738,29880510.28520633,0.1930583011401686,1770934789.8189843,1770934789.8189843
2.2455726577688844,20,1,29956499.291575678,33025722.761232443,33330585.828841045,30261378.231631674,34869303.777559,31800100.65778348,-89.70149993896484,-88.06079864501953,-2.8152999877929688,2.8898000717163086,[0. 0. 0.],[0. 0. 0. 1.],5.378421035517765,-3.051221099604679,"(20, 1)",304879.25994090363,304862.843048878,1538722.4246294089,1538717.9487179518,2.327199935913086,-3.051221099604679,29956499.211237982,33330585.749699518,34869303.69841747,33025722.90665064,30261378.471178886,31800100.895808294,0.1847743785318597,1770934790.0889492,1770934790.0889492
2.5516095203063363,21,1,20538254.30882654,26594437.116371673,26899920.76473848,20843755.031845186,28438638.71345643,22382473.21749634,-82.79070281982422,-82.2759017944336,0.0595999993383884,-0.5717999935150146,[0. 0. 0.],[0. 0. 0. 1.],5.464760744195486,-2.7411608334594018,"(21, 1)",305501.4742337726,305483.30453725904,1538717.917417869,1538717.948717948,2.723599910736084,-2.7411608334594018,20538254.01893029,26899920.685596954,28438638.634314902,26594437.381059695,20843755.493164062,22382473.41058193,0.17745732357952987,1770934790.1497734,1770934790.1497734
2.9437020275086905,30,1,489475241.35152674,24461102.1463481,24765409.546789765,489779568.64377826,26304127.495507713,20803416.04986822,-83.85690307617188,-83.37860107421875,-0.8203999996185303,0.6686000227928162,[0. 0. 0.],[0. 0. 0. 1.],5.318561597208403,-2.2221615747016887,"(30, 1)",304327.86207932234,304306.96927584335,-468976152.6880508,1538717.948717948,3.096400022506714,-2.2221615747016887,489475241.1984174,24765409.467648238,26304127.416366186,24461102.498372395,489779569.06049675,20803416.372445915,0.19751985049163598,1770934790.2149673,1770934790.2149673
2.8108811597242855,31,1,503024864.6139811,36334705.33376765,36638566.59807181,503328745.15232646,38177284.546789765,34352593.92032585,-87.44400024414062,-87.92340087890625,-2.171799898147583,1.5449999570846558,[0. 0. 0.],[0. 0. 0. 1.],5.403218332373771,-2.5139182244178384,"(31, 1)",303880.72478467226,303860.9118339345,-468976151.1543469,1538717.9487179518,2.8893001079559326,-2.5139182244178384,503024864.59585327,36638566.518930286,38177284.46764824,36334705.60709635,503328745.32063794,34352594.166291066,0.1875503025954438,1770934790.2940822,1770934790.2940822
4.637827255260213,20,2,274950217.2402936,4965548.8525195755,5271515.3233943265,275256216.809486,6810233.2721122755,7929304.53887815,-84.07140350341797,-84.5707015991211,-7.297800064086914,6.886099815368652,[0. 0. 0.],[0. 0. 0. 1.],5.780256972993651,-1.0064570767534162,"(20, 2)",306000.0219100714,305966.01437299605,-267326912.2627454,1538717.948717949,4.773799896240234,-1.0064570767534162,274950217.1599559,5271515.236879006,6810233.185596955,4965549.22250601,275256217.181866,7929304.919120593,0.20036484771470303,1770934790.338862,1770934790.338862
4.084896099494386,21,2,265531924.1806214,65751130.239464946,66054920.77211228,265835743.22906515,377228.4644199681,65725236.77091645,-92.25579833984376,-92.91470336914062,-3.666599988937378,3.75600004196167,[0. 0. 0.],[0. 0. 0. 1.],6.2983455293594135,-2.1028456323562397,"(21, 2)",303819.6113781929,303790.40840344876,-200110506.71699715,-65677692.30769231,4.195499897003174,-2.1028456323562397,265531923.89072514,66054920.68559696,377228.37790464744,65751130.27719351,265835743.50210333,65725236.78510617,0.18422556985371258,1770934790.394765,1770934790.394765
4.385725072885554,30,2,716469327.8899882,45617794.76429447,45922188.40031741,716773752.4043708,47460906.34903535,46148375.93351285,-87.10250091552734,-85.86170196533203,-5.38670015335083,4.682600021362305,[0. 0. 0.],[0. 0. 0. 1.],5.370857095168491,-0.8350571150049166,"(30, 2)",304425.11142838,304393.24794671685,-670625376.555614,1538717.9487179443,4.535799980163574,-0.8350571150049166,716469327.7368789,45922188.313802086,47460906.26252003,45617795.06585537,716773752.8483073,46148376.29269331,0.19261957768234664,1770934790.4417996,1770934790.4417996
5.056105110767527,31,2,697020113.0114172,24492196.838195015,24803270.131086636,697331221.8784007,26341988.079804584,26705846.33125098,-91.15570068359376,-91.4582977294922,-5.899899959564209,5.857999801635742,[0. 0. 0.],[0. 0. 0. 1.],5.909298044654857,-0.8302980484695546,"(31, 2)",311108.86793863773,311073.12324719504,-670625375.4601111,1538717.948717948,5.078999996185303,-0.8302980484695546,697020112.9932892,24803270.044571314,26341987.993289262,24492196.92132412,697331221.8612279,26705846.40111679,0.18351853354696,1770934790.4919703,1770934790.4919703
7.95654882111961,20,3,487944752.4967038,11422779.287773885,11728117.900275832,488250144.93363166,13266835.848993782,19273994.75676077,-96.6479034423828,-102.875,-0.6919000148773193,-0.0623000003397464,[0. 0. 0.],[0. 0. 0. 1.],8.333480663273496,-0.3806808662153909,"(20, 3)",305392.37780451775,305338.572966747,-468976150.15274435,1538717.94871795,7.9527997970581055,-0.3806808662153909,487944752.4163661,11728117.80098157,13266835.74969952,11422779.228014823,488250144.7941706,19273994.64142628,0.1885572808118924,1770934790.5469584,1770934790.5469584
6.052304613012,21,3,478526419.37292904,4992968.940553513,5299359.887455319,478832849.9279551,6838077.836173267,9856692.16147501,-102.19750213623048,-101.82769775390624,2.2407000064849854,-2.5350000858306885,[0. 0. 0.],[0. 0. 0. 1.],8.658882207513464,-2.5380821892029175,"(21, 3)",306430.9770632982,306390.9599108575,-468976158.00906444,1538717.948717948,6.120800018310547,-2.5380821892029175,478526419.0830328,5299359.788161058,6838077.736879006,4992968.8282502005,478832850.0600961,9856692.051031651,0.18973348600285334,1770934790.6077883,1770934790.6077883
