my_id,from_id,to_id,rx1,rx2,rx3,fpp1,fpp2,fpp3,skew1,skew2,skew3,fpp1_n,fpp2_n,skew1_n,skew2_n,rx1_raw,rx2_raw,rx3_raw,std,timestamp,tx1_n,rx1_n,tx2_n,rx2_n,tx3_n,rx3_n,range_n,bias_n,tx1_raw_n,rx1_raw_n,tx2_raw_n,rx2_raw_n,tx3_raw_n,rx3_raw_n,range_raw_n,bias_raw_n,gt_range_n,timestamp_n
20,11,2,128138468.6648772,128522226.3446765,130060955.94743776,-81.43840026855469,-87.62210083007812,-87.24980163574219,2.0768001079559326,7.206500053405762,7.485000133514404,-86.35169982910156,-86.32039642333984,-6.05079984664917,5.505000114440918,128138468.70617989,128522226.60945012,130060956.23309796,0.2003675816567788,0.8227505683898926,56243911.14824239,26915754.50917504,27299480.066984072,56627670.28692099,28838198.01570202,58166397.082762174,4.70151979958137,-0.0554965921701819,56243911.07021234,26915754.848382413,27299479.98046875,56627670.61673678,28838197.929186694,58166397.4233774,4.826000213623047,0.0689838218714946,4.757016391751552,0.7092134952545166
10,11,2,-10767919.457345149,-10384162.74209227,-8845435.391252559,-82.25679779052734,-82.94730377197266,-82.08039855957031,0.2430000007152557,6.0879998207092285,6.1234002113342285,-86.35169982910156,-86.32039642333984,-6.05079984664917,5.505000114440918,-10767919.26457332,-10384162.456805892,-8845435.22761418,0.1738038109028398,0.9371509552001953,56243911.14824239,26915754.50917504,27299480.066984072,56627670.28692099,28838198.01570202,58166397.082762174,4.70151979958137,-0.0554965921701819,56243911.07021234,26915754.848382413,27299479.98046875,56627670.61673678,28838197.929186694,58166397.4233774,4.826000213623047,0.0689838218714946,4.757016391751552,0.7092134952545166
30,11,2,-17036761.06308162,-16653015.129226103,-15114289.897188395,-93.20909881591795,-85.1875991821289,-82.95649719238281,-1.139899969100952,4.674300193786621,4.882900238037109,-86.35169982910156,-86.32039642333984,-6.05079984664917,5.505000114440918,-17036760.973808095,-16653014.667217543,-15114289.519481167,0.1974342071878752,0.9569494724273682,56243911.14824239,26915754.50917504,27299480.066984072,56627670.28692099,28838198.01570202,58166397.082762174,4.70151979958137,-0.0554965921701819,56243911.07021234,26915754.848382413,27299479.98046875,56627670.61673678,28838197.929186694,58166397.4233774,4.826000213623047,0.0689838218714946,4.757016391751552,0.7092134952545166
21,11,2,126476461.00285576,126860218.1473997,128398941.72329688,-86.2781982421875,-96.43800354003906,-95.26609802246094,-2.0917000770568848,3.5566999912261963,3.56879997253418,-86.35169982910156,-86.32039642333984,-6.05079984664917,5.505000114440918,126476461.6041917,126860218.33370894,128398941.93209136,0.1834647807736407,0.9576044082641602,56243911.14824239,26915754.50917504,27299480.066984072,56627670.28692099,28838198.01570202,58166397.082762174,4.70151979958137,-0.0554965921701819,56243911.07021234,26915754.848382413,27299479.98046875,56627670.61673678,28838197.929186694,58166397.4233774,4.826000213623047,0.0689838218714946,4.757016391751552,0.7092134952545166
30,10,2,933688590.035952,933992824.3805496,935531549.6045552,-82.27249908447266,-81.54010009765625,-82.79850006103516,-1.586899995803833,4.658400058746338,5.05049991607666,-82.19560241699219,-82.2333984375,-6.532199859619141,6.100100040435791,933688590.3226413,933992824.5348806,935531549.9643178,0.1649365747815582,1.7767860889434814,133361755.70276786,36606668.19859545,36910882.31057382,133666000.85013334,38449600.25929177,135204728.32305428,4.368523205513892,0.0200905859653337,133361755.62149438,36606668.38817108,36910882.224058494,133666001.03916268,38449600.172776446,135204728.51875502,4.450200080871582,0.1017674613230239,4.348432619548558,1.7117507457733154
31,10,2,531076818.8519173,531381055.9115402,532919782.5557718,-81.21959686279297,-80.66850280761719,-82.69120025634766,-0.4144000113010406,5.941800117492676,5.8541998863220215,-82.19560241699219,-82.2333984375,-6.532199859619141,6.100100040435791,531076818.769406,531381055.7204026,532919782.7304938,0.1285521987918466,1.9028635025024414,133361755.70276786,36606668.19859545,36910882.31057382,133666000.85013334,38449600.25929177,135204728.32305428,4.368523205513892,0.0200905859653337,133361755.62149438,36606668.38817108,36910882.224058494,133666001.03916268,38449600.172776446,135204728.51875502,4.450200080871582,0.1017674613230239,4.348432619548558,1.7117507457733154
31,30,11,1642364766.159615,1642669727.9786274,1644208445.924474,-80.2603988647461,-83.00910186767578,-85.01069641113281,0.7767000198364258,-0.607200026512146,0.0903000012040138,-91.44609832763672,-93.28279876708984,0.4600000083446502,-1.0951999425888062,1642364765.906701,1642669728.190105,1644208446.217073,0.1706631910958979,2.959989547729492,162915810.26178315,303414837.0391433,303719784.5456783,163220774.54310188,305258502.49439627,164759491.30407193,2.548996385022064,0.0864130365255873,162915810.10867387,303414837.098733,303719784.46764827,163220774.63003305,305258502.4163662,164759491.2954477,2.6084001064300537,0.1458167579335771,2.4625833484964765,2.835312604904175
21,30,11,2255702569.271391,2256007516.6651454,2257546231.0565853,-97.67449951171876,-85.5438003540039,-85.88420104980469,-1.3969000577926636,-1.5497000217437744,-2.1531999111175537,-91.44609832763672,-93.28279876708984,0.4600000083446502,-1.0951999425888062,2255702569.439229,2256007517.2932954,2257546231.6738043,0.1887484319162718,2.9628591537475586,162915810.26178315,303414837.0391433,303719784.5456783,163220774.54310188,305258502.49439627,164759491.30407193,2.548996385022064,0.0864130365255873,162915810.10867387,303414837.098733,303719784.46764827,163220774.63003305,305258502.4163662,164759491.2954477,2.6084001064300537,0.1458167579335771,2.4625833484964765,2.835312604904175
10,30,11,2051246946.9508328,2051551898.4679637,2053090616.3418128,-81.908203125,-80.32230377197266,-82.56539916992188,1.2610000371932983,0.2468000054359436,0.3296000063419342,-91.44609832763672,-93.28279876708984,0.4600000083446502,-1.0951999425888062,2051246947.084086,2051551898.302911,2053090616.58028,0.1313573636049076,3.0845723152160645,162915810.26178315,303414837.0391433,303719784.5456783,163220774.54310188,305258502.49439627,164759491.30407193,2.548996385022064,0.0864130365255873,162915810.10867387,303414837.098733,303719784.46764827,163220774.63003305,305258502.4163662,164759491.2954477,2.6084001064300537,0.1458167579335771,2.4625833484964765,2.835312604904175
30,11,31,2247465255.210416,2247771592.524888,2249310308.2719865,-93.22740173339844,-79.99700164794922,-81.40769958496094,-1.2163000106811523,-2.427000045776367,-0.9872000217437744,-84.9529037475586,-83.52020263671875,0.0557999983429908,-0.0948999971151351,2247465255.2991047,2247771592.422878,2249310308.3996906,0.1693983174514088,3.2282230854034424,2455180914.353372,97228334.26090764,97534672.30628891,2455487266.013457,99073390.25500686,2457025983.584563,2.0514461629139658,-0.0424446735109205,2455180914.275341,97228334.55403644,97534672.28816104,2455487266.3449025,99073390.236879,2457025983.8397694,2.1617000102996826,0.0678091738747963,2.0938908364248863,3.1043622493743896
21,11,31,2525408614.2871456,2525714965.745673,2527253680.657216,-86.16850280761719,-93.75340270996094,-94.9185028076172,-2.443700075149536,-1.9072999954223635,-2.282599925994873,-84.9529037475586,-83.52020263671875,0.0557999983429908,-0.0948999971151351,2525408614.8932047,2525714965.992464,2527253680.8737736,0.1836578781525907,3.2306606769561768,2455180914.353372,97228334.26090764,97534672.30628891,2455487266.013457,99073390.25500686,2457025983.584563,2.0514461629139658,-0.0424446735109205,2455180914.275341,97228334.55403644,97534672.28816104,2455487266.3449025,99073390.236879,2457025983.8397694,2.1617000102996826,0.0678091738747963,2.0938908364248863,3.1043622493743896
20,11,31,2459863322.061001,2460169674.1036305,2461708394.2789893,-80.42440032958984,-85.59839630126953,-86.1552963256836,1.4667999744415283,0.2085999995470047,1.531999945640564,-84.9529037475586,-83.52020263671875,0.0557999983429908,-0.0948999971151351,2459863321.908805,2460169674.4635177,2461708394.6188912,0.1932222346712652,3.334304094314575,2455180914.353372,97228334.26090764,97534672.30628891,2455487266.013457,99073390.25500686,2457025983.584563,2.0514461629139658,-0.0424446735109205,2455180914.275341,97228334.55403644,97534672.28816104,2455487266.3449025,99073390.236879,2457025983.8397694,2.1617000102996826,0.0678091738747963,2.0938908364248863,3.1043622493743896
31,11,5,2987903753.777759,2988208000.25652,2989746722.853803,-84.40799713134766,-83.22000122070312,-83.9447021484375,0.2196999937295913,2.753900051116944,3.249300003051758,-83.83429718017578,-83.59410095214844,-3.041599988937378,2.774399995803833,2987903754.0690103,2988208000.488281,2989746723.132011,0.1990168751586791,4.362664699554443,3598229488.071318,7300264.338799548,7604480.305042102,3598533735.735186,9143198.25376005,3600072457.5486817,4.635428886022886,0.0080699449475112,3598229487.993288,7300265.002128405,7604479.98046875,3598533736.071463,9143197.929186698,3600072458.1987414,4.83620023727417,0.2088412961987948,4.627358941075375,4.245964765548706
20,11,5,3602913927.373025,3603218166.3745008,3604756891.272328,-81.18160247802734,-81.48729705810547,-81.97779846191406,1.883999943733216,3.354599952697754,4.632299900054932,-83.83429718017578,-83.59410095214844,-3.041599988937378,2.774399995803833,3602913927.361903,3603218166.425655,3604756891.4168906,0.1338046133046939,4.412515640258789,3598229488.071318,7300264.338799548,7604480.305042102,3598533735.735186,9143198.25376005,3600072457.5486817,4.635428886022886,0.0080699449475112,3598229487.993288,7300265.002128405,7604479.98046875,3598533736.071463,9143197.929186698,3600072458.1987414,4.83620023727417,0.2088412961987948,4.627358941075375,4.245964765548706
30,11,5,3323296385.4052734,3323600631.971432,3325139352.671837,-93.10079956054688,-93.28900146484376,-95.6439971923828,-1.0169999599456787,1.6492999792099,1.8933000564575195,-83.83429718017578,-83.59410095214844,-3.041599988937378,2.774399995803833,3323296385.498046,3323600632.0581675,3325139352.698692,0.1852373821576913,4.488250970840454,3598229488.071318,7300264.338799548,7604480.305042102,3598533735.735186,9143198.25376005,3600072457.5486817,4.635428886022886,0.0080699449475112,3598229487.993288,7300265.002128405,7604479.98046875,3598533736.071463,9143197.929186698,3600072458.1987414,4.83620023727417,0.2088412961987948,4.627358941075375,4.245964765548706
30,21,11,4044476901.769158,4044780942.827992,4046319658.997109,-97.77799987792967,-92.36979675292967,-93.42769622802734,0.9154000282287598,-0.0408999994397163,-1.0960999727249146,-84.77290344238281,-85.82369995117188,2.1624999046325684,-2.382299900054932,4044476901.761566,4044780942.946212,4046319659.079525,0.1853275312111725,5.08376407623291,3650254039.565235,2437351167.6392674,2437655209.2251663,3650558094.942903,2439193927.1738844,3652096809.65566,2.162530002734795,-0.0579630458250681,3650254039.275339,2437351168.009441,2437655209.147136,3650558095.562273,2439193927.0958543,3652096810.005382,2.3738999366760254,0.1534068881161623,2.220493048559863,4.966994285583496
10,21,11,4050751307.216772,4051055350.112043,4052594067.835032,-103.61080169677734,-80.01219940185547,-81.78890228271484,2.5899999141693115,0.0838000029325485,0.2477000057697296,-84.77290344238281,-85.82369995117188,2.1624999046325684,-2.382299900054932,4050751307.0756936,4051055349.9192433,4052594067.946212,0.1784925725341025,5.201319932937622,3650254039.565235,2437351167.6392674,2437655209.2251663,3650558094.942903,2439193927.1738844,3652096809.65566,2.162530002734795,-0.0579630458250681,3650254039.275339,2437351168.009441,2437655209.147136,3650558095.562273,2439193927.0958543,3652096810.005382,2.3738999366760254,0.1534068881161623,2.220493048559863,4.966994285583496
31,21,11,3641868617.1224623,3642172658.450859,3643711375.942253,-94.39189910888672,-81.99479675292969,-85.13980102539062,1.909199953079224,-0.5522000193595886,0.0650999993085861,-84.77290344238281,-85.82369995117188,2.1624999046325684,-2.382299900054932,3641868617.005958,3642172658.519254,3643711376.2332215,0.1995719273510596,5.207934141159058,3650254039.565235,2437351167.6392674,2437655209.2251663,3650558094.942903,2439193927.1738844,3652096809.65566,2.162530002734795,-0.0579630458250681,3650254039.275339,2437351168.009441,2437655209.147136,3650558095.562273,2439193927.0958543,3652096810.005382,2.3738999366760254,0.1534068881161623,2.220493048559863,4.966994285583496
20,21,11,4324096354.28529,4324400409.082923,4325939129.138725,-81.73870086669922,-80.45659637451172,-80.58820343017578,3.608799934387207,2.149399995803833,1.8645000457763672,-84.77290344238281,-85.82369995117188,2.1624999046325684,-2.382299900054932,4324096354.385765,4324400408.935544,4325939129.012668,0.0947314654854526,5.21738338470459,3650254039.565235,2437351167.6392674,2437655209.2251663,3650558094.942903,2439193927.1738844,3652096809.65566,2.162530002734795,-0.0579630458250681,3650254039.275339,2437351168.009441,2437655209.147136,3650558095.562273,2439193927.0958543,3652096810.005382,2.3738999366760254,0.1534068881161623,2.220493048559863,4.966994285583496
