range,from_id,to_id,tx1,rx1,tx2,rx2,tx3,rx3,fpp1,fpp2,skew1,skew2,r_iw_a_ifo001,q_ai_ifo001,gt_range,bias,pair,del_t1,del_t2,del_t3,del_t4,range_raw,bias_raw,tx1_raw,tx2_raw,tx3_raw,rx1_raw,rx2_raw,rx3_raw,std,timestamp
3.48574837788861,10,1,59305994.48481916,26605084.608997427,26909239.674994893,59610173.3231685,28447957.62371284,61148893.85685646,-80.83070373535156,-80.39340209960938,-1.8727999925613403,1.567399978637695,[-0.01521386 -0.00613051  0.12964245],[0.01217196 0.00158649 0.02426708 0.99963014],3.445221492599579,0.0405268852890308,"(10, 1)",304178.7641476393,304155.0699869804,1538720.5309745595,1538717.948717948,3.474100112915039,0.02887862031546,59305994.40354567,26909239.59585337,28447957.544571318,26605084.525866386,59610173.16769331,61148893.69866787,0.0788832766395342,0.37018299102783203
5.188327254158914,10,5,308299239.6771268,66191495.43938631,66496018.76658057,308603798.380794,818326.4588882556,310142520.1358181,-86.9905014038086,-86.88420104980469,-3.0332999229431152,2.515500068664551,[-0.01502802 -0.00623914  0.12958321],[0.01071212 0.00143187 0.02335601 0.99966878],5.113144417686126,0.0751828364727877,"(10, 5)",304559.09142130613,304522.3920773268,1538722.0646784902,-65677692.30769231,5.377299785614014,0.2641553679278878,308299239.5958533,66496018.442007214,818326.1343149039,66191496.04992989,308603798.68727463,310142520.7519531,0.1903506003819007,0.6134734153747559
3.571981478567837,10,4,457295064.9976396,56794762.55895994,57101435.204707175,457601761.7852796,58640153.15342513,459140481.2645663,-82.87449645996094,-82.67279815673828,-1.4322999715805054,1.139899969100952,[-0.01505881 -0.00623675  0.12957735],[0.01050371 0.00163582 0.02312803 0.99967597],3.553191295385273,0.0187901831825638,"(10, 4)",306697.12164467573,306672.25373096764,1538719.498071909,1538717.9487179518,3.680200099945069,0.1270088045597956,457295064.9163661,57101435.10867388,58640153.05739183,56794762.85494291,457601762.0380108,459140481.5360827,0.1842681491834771,0.7894971370697021
4.28803244444041,10,2,655071611.4719986,17552481.229376953,17856395.131086636,655375555.7557304,19395113.079804584,656914282.6495998,-80.75769805908203,-81.27149963378906,-6.198800086975098,5.6940999031066895,[-0.01504607 -0.00619042  0.12955946],[0.01120603 0.00122344 0.02373838 0.99965453],4.281653327458009,0.0063791169824014,"(10, 2)",303944.3734976053,303913.9028695896,1538726.9005408287,1538717.948717948,4.30109977722168,0.019446449763671,655071611.3907251,17856395.044571314,19395112.993289266,17552481.141701724,655375555.7642227,656914282.6647636,0.1018040519146287,1.0466442108154297
3.227502453563545,11,4,167172364.6738834,35739100.15521119,36044896.74316871,167478183.08457458,37583614.69188666,169016902.465833,-80.35440063476562,-81.13829803466797,-0.7627000212669373,0.9229000210762024,[-0.01502    -0.00622279  0.12957635],[0.01030964 0.00111147 0.02308717 0.99967948],3.213479846456606,0.0140226071069387,"(11, 4)",305818.4657952785,305796.6339893788,1538719.4041716754,1538717.9487179518,3.228100061416626,0.0146202149600198,167172364.59585336,36044896.64713541,37583614.595853366,35739100.013146035,167478183.06164864,169016902.4658203,0.0853242059124909,1.4302468299865723
3.668022640911428,11,1,355949335.8277296,54582855.41719061,54887621.0852513,356254126.3762279,56426339.03396925,357792846.35803646,-87.37989807128906,-85.77069854736328,-1.7099000215530396,1.2824000120162964,[-0.01497934 -0.00624811  0.12961514],[0.01107794 0.00140647 0.02357601 0.9996595 ],3.707258836662351,-0.0392361957509233,"(11, 1)",304790.9780648947,304765.3119991943,1538719.9832231402,1538717.9487179518,3.78570008277893,0.0784412461165793,355949335.74969953,54887621.006109774,56426338.954827726,54582855.69411058,356254126.7277644,357792846.7109876,0.1923190595550776,1.6694369316101074
4.728534788203618,10,3,1376833814.99764,45786710.53617269,46090986.49001942,1377138122.1985192,47629704.43873737,1378676838.590598,-82.70089721679688,-82.03970336914062,0.3528999984264374,-0.6025000214576721,[-0.01509541 -0.00616793  0.12957754],[0.01096032 0.00106453 0.02342405 0.99966479],4.567270696044215,0.1612640921594028,"(10, 3)",304307.4387769699,304275.57529547065,1538716.4150140283,1538717.9487179518,4.820199966430664,0.2529292703864492,1376833814.9163666,46090986.39072516,47629704.33944311,45786710.81542969,1377138122.3551435,1378676838.7701576,0.1719202569455586,1.8166515827178955
4.710173879603556,11,5,773938534.5456781,61513963.9895955,61818110.11273441,774242712.8248472,63356828.06145236,775781434.434893,-82.62999725341797,-82.4574966430664,-2.849800109863281,2.5071001052856445,[-0.01509186 -0.00620638  0.12952861],[1.10477271e-02 8.53221768e-04 2.36730909e-02 9.99658284e-01],4.697546123918703,0.0126277556848526,"(11, 5)",304178.57634723186,304145.2417618185,1538721.923828125,1538717.9487179518,4.877399921417236,0.1798537974985334,773938534.4676481,61818109.788161054,63356827.736879006,61513964.54639924,774242713.0439954,775781434.9678235,0.1779825089513807,2.0853071212768555
4.609366059128009,11,2,1026931996.0841396,53525576.533456,53830730.06698407,1027237182.0542142,55369448.01570202,1028775908.4588044,-87.76580047607422,-87.2761001586914,-5.773200035095215,5.33459997177124,[-0.01502758 -0.00624221  0.1296133 ],[0.01133163 0.00110584 0.02381592 0.99965145],4.690186459086994,-0.0808203999589851,"(11, 2)",305186.3293770552,305153.1825921461,1538726.415389657,1538717.9487179518,4.715400218963623,0.0252137598766291,1026931996.0061096,53830729.98046875,55369447.9291867,53525576.79787661,1027237182.3354868,1028775908.7508764,0.1881014352265435,2.370124101638794
4.758278192674228,11,3,1106711787.7508066,44733391.445089765,45041355.07976301,1107019782.732474,46580073.02848096,1108558498.6509233,-83.11630249023438,-82.93409729003906,1.0299999713897705,-1.2273999452590942,[-0.01497599 -0.00615565  0.12959066],[0.01065743 0.00113263 0.02319999 0.99967337],4.6309854984123255,0.1272926942619019,"(11, 3)",307995.3394179344,307963.20988582075,1538715.9455127716,1538717.9487179518,4.87470006942749,0.2437145710151647,1106711787.6727765,45041354.98046875,46580072.9291867,44733391.77058293,1107019783.0121944,1108558498.9577072,0.1897187709591611,2.501310110092163
