timestamp,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
0.341890811920166,-0.0154149650260493,-0.0062547150218892,0.1296481853194891,0.0125505286280729,0.0019777618086963,0.0246577248319431,0.9996152106163132
0.34253811836242676,-0.0149781891117768,-0.0063018009788372,0.1296105192344895,0.0112401522668335,0.0018544138625718,0.0234220096872815,0.9996607572514056
0.36257100105285645,-0.0149121267425162,-0.0062566273623188,0.1296840738557621,0.011681197345985,0.0017003726586028,0.023448991623182,0.9996553421821152
0.36274027824401855,-0.0151748724957089,-0.0061296041740494,0.1296434651124501,0.0123844842199282,0.0016245788633082,0.0242365569877008,0.999628218188895
0.3720419406890869,-0.0152235921385826,-0.006130733072678,0.1296421938961353,0.0121188805492509,0.0015769752735524,0.0242747052103203,0.9996306240657954
0.3819766044616699,-0.0150618677691048,-0.0062405643528001,0.1296679814254237,0.0114031916953799,0.0018102651015967,0.0236657152484338,0.999653251923486
0.3926868438720703,-0.0151457725482386,-0.0062817304613285,0.1297114799004783,0.0121036193745516,0.0015717229534248,0.024085567156105,0.999635392300494
0.40242791175842285,-0.0152189185981467,-0.0062473366771513,0.1296386329660267,0.0120352523310795,0.0018919653037808,0.024196250183862,0.9996329899746488
0.4125659465789795,-0.0151079956192416,-0.0061779902788669,0.1296307230615371,0.0120319262664869,0.0017775498123559,0.024181465475155,0.9996335977719318
0.42206406593322754,-0.0151377587101346,-0.0061592349481488,0.1296402831360603,0.0118394639544592,0.0016389972792182,0.0239145891892274,0.9996425527182704
0.4319179058074951,-0.0151941050067872,-0.0061577639215071,0.129509753417864,0.011124621745114,0.0017228602187876,0.0234471368733643,0.9996616959332476
0.4419288635253906,-0.0150628673990711,-0.006254776779402,0.1295672792414817,0.0108582184329581,0.0015192578750991,0.0231635880796425,0.9996715656330571
0.4519157409667969,-0.0150155962348716,-0.0063071623882072,0.1296877589304606,0.0111311167504135,0.0016525857023223,0.0234071243051173,0.9996626799736748
0.46465206146240234,-0.0151511934718375,-0.0062472490905639,0.1296414038218006,0.011763249975848,0.0015934031388695,0.0241181837640569,0.9996386348217872
0.47202420234680176,-0.0149814973012683,-0.0061735977312788,0.1295925708629387,0.011295050675315,0.001356682637171,0.0236790931218546,0.9996548813422516
0.4919312000274658,-0.0149947516457,-0.0061646220185766,0.1295512373111127,0.0101790082611868,0.0009579127401382,0.0234502453483784,0.9996727245389372
0.49210572242736816,-0.0152700890953473,-0.0061610234086754,0.1296107147946191,0.0116745013582034,0.0014423631791781,0.024096850666504,0.999640419047996
0.5019352436065674,-0.0151325923454074,-0.0062668143052174,0.1295987849876795,0.0113981636270101,0.001185695324213,0.0239155661337416,0.9996482989977188
0.5123662948608398,-0.0150821189478828,-0.0063063240998247,0.1296164775091545,0.0114325743920478,0.0011398218077854,0.0239118564920936,0.9996480481490068
0.5232245922088623,-0.0149612630047098,-0.0062132783559809,0.1295921352889722,0.0110487263148253,0.0012244333036619,0.0231320706149282,0.9996706126114596
0.5319118499755859,-0.0149953796311521,-0.0061542833267098,0.1295462605441946,0.011034483785138,0.0013559656411607,0.0236479074233755,0.999658530698994
0.5419712066650391,-0.0148972643166132,-0.006167143316805,0.1295502175424014,0.0104738816711957,0.0012702760569065,0.0230602607974565,0.9996784025742632
0.551978588104248,-0.0152816890518885,-0.0062224868296984,0.1296078344998804,0.0116476047650173,0.001485768464124,0.0240385555297623,0.9996420727657233
0.5626182556152344,-0.015081261455643,-0.0062789497204529,0.129576731786151,0.0105362375027891,0.0012160696717404,0.0233175839637715,0.999671845733354
0.5719068050384521,-0.0148780876764546,-0.0062691587553331,0.1295884914658868,0.0102256168209705,0.0014144120887905,0.0228323999136848,0.99968600956163
0.5819118022918701,-0.0150667529738288,-0.0061686101335299,0.129599497609144,0.0112446420458131,0.0013151378744869,0.023747447871887,0.9996538836803492
0.5965476036071777,-0.0151516554872207,-0.0061250829298702,0.1295887490041027,0.0117272864249027,0.0011399289501984,0.0239497093842815,0.999643727902849
0.6019001007080078,-0.0150326506090868,-0.006213505724976,0.1294899290141351,0.0100722236262213,0.0008832892351045,0.0237663908177183,0.9996664087478632
0.6123762130737305,-0.0150371367118133,-0.0062336860581999,0.1295827439261651,0.0107598043309461,0.0014388621944757,0.023406069622143,0.9996671006846172
0.6219761371612549,-0.0149574138851069,-0.0062814145671131,0.1295868206524066,0.0103426911495007,0.0013776946198021,0.0229681241554427,0.9996817473426736
0.6325767040252686,-0.0149049093729912,-0.0062658024017611,0.1296350449039054,0.0104987283021187,0.0010826648331101,0.0231600521227038,0.999676055793361
0.6419386863708496,-0.0149894290377308,-0.0061689812570839,0.1295540503501654,0.0115072972828482,0.0011672749690832,0.0241101916978977,0.999642395176736
0.6623425483703613,-0.0151877753883968,-0.0061200480912037,0.1296226631031052,0.0125382050956505,0.0018304307055769,0.0244301275156918,0.9996212341712128
0.662489652633667,-0.0152112309549646,-0.0061535942110472,0.129658149205587,0.0120675314120982,0.0017644390302955,0.0240888922146297,0.9996354268994264
0.6819977760314941,-0.0150573298480223,-0.0062225234426847,0.1296042962449391,0.01102833864709,0.0018125942952454,0.0233097623571237,0.9996658167745164
0.6947996616363525,-0.0152620187890931,-0.0062350838984379,0.1296004948837801,0.012443891157378,0.0017041602081968,0.024723423409776,0.99961542492388
0.6961236000061035,-0.0151245272620598,-0.0062475296291107,0.1296569559737481,0.0118665848698852,0.0018127018400547,0.0239723237550736,0.9996405483819406
