my_id,from_id,to_id,rx1,rx2,rx3,fpp1,fpp2,fpp3,skew1,skew2,skew3,fpp1_n,fpp2_n,skew1_n,skew2_n,rx1_raw,rx2_raw,rx3_raw,std,timestamp,tx1_n,rx1_n,tx2_n,rx2_n,tx3_n,rx3_n,range_n,bias_n,tx1_raw_n,rx1_raw_n,tx2_raw_n,rx2_raw_n,tx3_raw_n,rx3_raw_n,range_raw_n,bias_raw_n,gt_range_n,timestamp_n
11,10,3,3923343470.842127,3923647581.456648,3925186297.108331,-81.76219940185547,-82.16629791259766,-82.79959869384766,-0.3398999869823456,-1.6093000173568726,-1.34660005569458,-82.8290023803711,-83.19200134277344,0.9004999995231628,-0.8838000297546387,3923343470.9441338,3923647581.630607,3925186297.372669,0.1668821626190639,4.579919815063477,3923546515.318151,38278099.63375643,38582180.40027584,3923850626.928333,40120898.34899378,3925389343.4299617,4.664815681931408,0.0973339034349312,3923546515.236877,38278099.92863582,38582180.30098157,3923850627.2379537,40120898.24969952,3925389343.762518,4.781700134277344,0.2142183557808668,4.567481778496477,4.4589173793792725
10,11,5,3513507109.995187,3513811352.4747057,3515350074.654044,-82.96800231933594,-86.39839935302734,-87.11900329589844,-0.1414999961853027,3.0826001167297363,2.87310004234314,-82.42890167236328,-82.87049865722656,-2.7641000747680664,2.4316000938415527,3513507110.282701,3513811352.805112,3515350074.9480405,0.1988719466201737,4.9470438957214355,3244438342.237985,44999717.17581561,45303927.42042672,3244742584.863603,46842645.36914466,3246281306.285848,4.749427874364609,0.0520750403908554,3244438342.159955,44999717.70457733,45303927.095853366,3244742585.136217,46842645.04457131,3246281306.872245,4.920499801635742,0.2231469676619886,4.697352833973754,4.712187767028809
10,11,3,3858280157.088613,3858585640.996365,3860124357.37642,-81.89959716796875,-82.11859893798828,-82.66739654541016,0.2029999941587448,-1.3113000392913818,-1.1827000379562378,-83.1510009765625,-82.6156005859375,1.0513999462127686,-1.3234000205993652,3858280157.2203007,3858585641.1664896,3860124357.6284537,0.1666773243315239,5.386023998260498,3589211282.943113,40228745.72740805,40534199.63104506,3589516768.338613,42072917.57976301,3591055484.4761624,4.7729731185038204,0.1424265469356642,3589211282.8650827,40228746.0561899,40534199.5317508,3589516768.579726,42072917.48046875,3591055484.7443395,4.884099960327148,0.2535533887589922,4.630546571568156,5.106277227401733
11,10,1,4977096335.411154,4977400234.850242,4978938954.812048,-82.7406005859375,-84.63289642333984,-85.48889923095703,-0.7608000040054321,1.6223000288009644,1.1790000200271606,-80.04290008544922,-80.78970336914062,-1.875599980354309,1.5469000339508057,4977096335.66832,4977400235.220103,4978938955.172026,0.2001301871733558,5.671265363693237,4977299680.382256,37792182.02867425,38096058.5852513,4977603580.692255,39634776.53396925,4979142301.241593,3.482518735082237,0.0373303532763866,4977299680.300982,37792181.8346855,38096058.506109774,4977603580.603968,39634776.454827726,4979142301.150592,3.4642999172210693,0.0191115354152189,3.4451883818058504,5.5488386154174805
11,10,4,5406170960.284652,5406477173.68073,5408015892.819556,-82.16629791259766,-80.1532974243164,-81.01820373535156,-0.9014999866485596,0.7953000068664551,0.8288000226020813,-82.95989990234375,-82.57379913330078,-1.3885999917984009,0.7972000241279602,5406170960.458612,5406477173.493217,5408015892.772188,0.103561961365357,6.1250245571136475,5406374439.9976425,31853528.387352265,32159720.46111743,5406680656.20132,33698438.40983538,5408219375.633657,3.571657752230976,0.018168378017668,5406374439.916369,31853528.692783453,32159720.36508413,5406680656.440933,33698438.313802086,5408219375.892056,3.67930006980896,0.1258106955956521,3.553489374213308,5.981499671936035
11,10,0,5861072081.206941,5861376622.051839,5862915344.840625,-81.24040222167969,-82.13480377197266,-82.40509796142578,-0.3501000106334686,3.02209997177124,3.0659000873565674,-82.10769653320312,-82.08460235595703,-3.5789999961853027,3.439300060272217,5861072081.204933,5861376622.220558,5862915345.052089,0.1527839151188393,6.571887016296387,5861275706.023286,15492144.778576342,15796651.46285791,5861580248.123534,17335369.411575858,5863118971.220433,5.154458299986488,0.041661888353774,5861275705.942013,15492144.853640825,15796651.454827724,5861580248.287891,17335369.403545674,5863118971.291572,5.206399917602539,0.093603505969825,5.112796411632714,6.447922706604004
10,11,4,5439239716.884945,5439545538.118369,5441084257.707635,-81.8113021850586,-81.74130249023438,-82.74120330810547,-0.2383999973535537,0.7990000247955322,1.0635000467300415,-80.72940063476562,-80.74870300292969,-0.8549000024795532,0.8549000024795532,5439239717.000329,5439545538.220531,5441084257.969004,0.1608396990482922,6.949223756790161,5170170369.481578,64717943.43083434,65023742.89701487,5170476190.864763,66562460.845732816,5172014910.183421,3.2434930141764307,0.031843468570198,5170170369.403548,64717943.34998497,65023742.80098157,5170476190.764601,66562460.74969952,5172014910.106172,3.2416999340057373,0.0300503883995046,3.2116495456062326,6.718936204910278
10,11,1,5649016221.119989,5649322070.03099,5650860790.559104,-82.16480255126953,-79.4218978881836,-81.24310302734375,0.1386999934911728,0.8138999938964844,1.591599941253662,-83.45850372314453,-83.95120239257812,-1.6540000438690186,1.308500051498413,5649016221.297831,5649322069.889954,5650860790.561778,0.0888024905592381,7.220048189163208,5379946787.750809,37342213.44786989,37648037.75191797,5380252639.728799,39186755.70063592,5381791359.867108,4.081762110066072,0.3768538328101227,5379946787.672779,37342213.77641727,37648037.672776446,5380252640.083511,39186755.62149439,5381791360.223235,4.207600116729736,0.5026918394737869,3.704908277255949,6.9641618728637695
11,10,3,6666971300.751634,6667348885.708608,6668887601.77759,-80.61859893798828,-82.88800048828125,-82.31690216064453,-0.5532000064849854,-1.3950999975204468,-1.0616999864578247,-82.35530090332031,-81.76219940185547,0.426499992609024,-1.289800047874451,6666971300.627889,6667348885.983208,6668887601.975671,0.1495156072318322,7.307861804962158,6667175177.177135,26036307.251557443,26413863.09258352,6667552764.191751,27952581.04130147,6669091480.552529,4.7297890490841565,0.2696012705368664,6667175177.095862,26036307.482597157,26413862.993289266,6667552764.297886,27952580.94200721,6669091480.6816,4.80649995803833,0.34631217949104,4.46018777854729,7.274016380310059
10,11,5,6110004309.676406,6110308781.116403,6111847503.163905,-80.58820343017578,-86.1769027709961,-86.80819702148438,-0.0922000035643577,2.779900074005127,2.968100070953369,-84.47270202636719,-85.1521987915039,-2.968100070953369,2.730600118637085,6110004309.551539,6110308781.456588,6111847503.474316,0.1970313933586139,7.671690464019775,5840934720.443119,20048799.64832734,20353238.31786261,5841239190.385064,21891956.266580563,5842777911.90121,4.580441915584136,0.0483445568677201,5840934720.365089,20048800.330528848,20353237.993289266,5841239190.752084,21891955.94200721,5842777912.582012,4.788599967956543,0.256502609240127,4.532097358716416,7.423521518707275
