range,from_id,to_id,tx1,rx1,tx2,rx2,tx3,rx3,fpp1,fpp2,skew1,skew2,r_iw_a_ifo001,q_ai_ifo001,gt_range,bias,pair,del_t1,del_t2,del_t3,del_t4,range_raw,bias_raw,tx1_raw,tx2_raw,tx3_raw,rx1_raw,rx2_raw,rx3_raw,std,timestamp
4.184309858256704,10,2,60880730.06174224,30461064.290787183,30792172.37467638,61211867.983470544,32330890.32339433,62750594.830389865,-83.41169738769531,-83.75340270996094,-5.907299995422363,5.954800128936768,[0.07073005-0.001181510.75018259],[-0.00424074-0.0167950.578236260.81568499],4.1200291105598845,0.0642807476968192,"(10,2)",331138.35261417925,331107.66288561746,1538726.8535907492,1538717.948717948,4.311699867248535,0.1916707566886506,60880729.98046875,30792172.288161054,32330890.23687901,30461064.62527544,61211868.33308293,62750595.18667368,0.1972448452550776,0.3043942451477051
4.626138277341213,10,0,209876715.6386653,11562262.274082614,11867685.116704063,210182170.40575376,13406403.065422012,211720893.6591538,-83.67749786376953,-83.48370361328125,-3.650700092315674,3.22979998588562,[0.0711833-0.000998250.74971425],[-0.00778978-0.03069150.575991880.81683373],4.659387109564112,-0.0332488322228989,"(10,0)",305455.18141525984,305422.582381811,1538723.160181284,1538717.948717948,4.729899883270264,0.0705127737061515,209876715.55739185,11867685.108673878,13406403.057391826,11562262.526292069,210182170.73880708,211720893.8989884,0.1972477575455385,0.44988131523132324
4.87361618245127,10,3,1004855281.3437932,9594199.591015708,9899816.61822455,1005160930.6283644,11438534.5669425,1006699647.2395434,-82.20140075683594,-81.62419891357422,0.5465999841690063,-1.2861000299453735,[0.07184544-0.000943870.74832046],[-0.01478195-0.045701160.575527040.81637084],4.645155313261468,0.228460869189802,"(10,3)",305649.4453625679,305616.7211288065,1538716.634114623,1538717.94871795,4.942800045013428,0.2976447317519595,1004855281.2625198,9899816.518930288,11438534.467648238,9594199.797801482,1005160930.7078824,1006699647.341997,0.153048392893749,1.245880365371704
3.170326838211856,10,1,2210822749.292513,27807300.54858138,28111162.75191797,2211126633.187536,29649880.70063592,2212665353.846424,-81.20259857177734,-81.79989624023438,-1.7517999410629272,1.4118000268936155,[0.07014036-0.001356610.75287408],[0.005544660.005211610.580922050.81392358],3.0513822045038363,0.1189446337080197,"(10,1)",303884.0895433426,303862.1325370595,1538720.6561746595,1538717.948717948,3.210099935531616,0.1587177310277798,2210822749.21124,28111162.67277644,29649880.62149439,27807300.540239383,2211126633.3007827,2212665353.9569573,0.1311921109723534,2.4587838649749756
4.877606535182573,10,5,2456816122.689949,64853267.85982254,65157581.26658057,2457120469.45794,66696299.21529851,2458659191.510315,-85.7291030883789,-85.09919738769531,-3.0276999473571777,2.612299919128418,[0.07101485-0.001114480.74968477],[-0.00831785-0.028704790.576760720.81636443],4.835792530989729,0.0418140041928438,"(10,5)",304347.22117853165,304312.4154897854,1538722.3620295525,1538717.9487179443,5.084799766540527,0.2490072355507981,2456816122.608675,65157580.942007214,66696298.89072516,64853268.52651743,2457120469.829853,2458659192.191883,0.1976103848600223,2.699676990509033
4.245129143738127,10,2,2857805313.395076,4279880.238205876,4621234.874676378,2858146698.334504,6159952.823394327,2859685425.181423,-83.24150085449219,-83.32260131835938,-5.985599994659424,5.980899810791016,[7.16741306e-02-4.52370768e-047.48910891e-01],[-0.01089235-0.038141620.570605570.82026557],4.113408604847851,0.131720538890276,"(10,2)",341385.3415465355,341354.229266827,1538726.8535904884,1538717.948717948,4.366099834442139,0.252691229594288,2857805313.3138022,4621234.788161058,6159952.736879006,4279880.558894231,2858146698.655349,2859685425.5089397,0.1939072001697046,3.096338987350464
4.641845876995332,10,0,2999876571.407896,45679498.13582177,46000721.97567842,3000197827.341316,47539439.924396366,3001736550.641666,-83.6249008178711,-83.57550048828125,-3.573400020599365,3.403899908065796,[0.070421-0.001295970.75234031],[3.59718834e-033.92219111e-045.80458168e-018.14280744e-01],4.664237633287798,-0.0223917562924667,"(10,0)",321256.3539161682,321223.582732372,1538723.2071313858,1538717.9487179443,4.746300220489502,0.0820625872017037,2999876571.3266225,46000721.96764824,47539439.91636618,45679498.384915866,3000197827.6805387,3001736550.88767,0.1974266226444664,3.240878105163574
4.819657594530718,10,3,3445789456.02328,30739147.13867168,31045313.413096342,3446095654.2287617,32584031.36181429,3447634371.0120907,-82.3582992553711,-82.26020050048828,0.3472999930381775,-1.2348999977111816,[0.07057188-0.001602990.75368968],[0.010702170.009257180.581273280.81358533],4.646325860193444,0.1733317343372746,"(10,3)",306198.4800682068,306165.9436348155,1538716.806264877,1538717.948717948,4.909599781036377,0.2632739208429333,3445789455.942006,31045313.31380208,32584031.26252003,30739147.370167267,3446095654.4220743,3447634371.228339,0.1701700358697599,3.6867196559906006
3.222550015115636,10,1,4649756980.061741,46946571.35083707,47250505.70063592,4650060936.408576,48789223.64935387,4651599656.848364,-81.43150329589844,-80.73829650878906,-1.4500000476837158,1.905400037765503,[0.07023406-0.001425490.75282476],[0.005140560.003652990.580693540.81409762],3.05091628033923,0.1716337347764058,"(10,1)",303956.33012866974,303934.23227163404,1538720.4370737076,1538717.9487179518,3.2376999855041504,0.1867837051649203,4649756979.980468,47250505.62149439,48789223.57021234,46946571.38922276,4650060936.310596,4651599656.74767,0.1057611063329866,4.920000791549683
4.859770778987493,10,5,4867533470.446358,55772461.91941632,56078286.394785695,4867839328.180409,57617004.34350364,4869378050.295384,-85.3551025390625,-85.20590209960938,-3.085400104522705,2.5071001052856445,[0.07106036-0.001025610.74994505],[-0.00638222-0.02569440.576805960.81645177],4.835885021755559,0.0238857572319339,"(10,5)",305858.18559646606,305823.47380809486,1538722.4246292114,1538717.9487179443,5.06820011138916,0.2323150896336008,4867533470.365085,56078286.07021234,57617004.018930286,55772462.59640425,4867839328.550681,4869378050.97531,0.1981408232328572,5.179922342300415
