range,from_id,to_id,tx1,rx1,tx2,rx2,tx3,rx3,fpp1,fpp2,skew1,skew2,r_iw_a_Husky,q_ai_Husky,gt_range,bias,pair,del_t1,del_t2,del_t3,del_t4,range_raw,bias_raw,tx1_raw,tx2_raw,tx3_raw,rx1_raw,rx2_raw,rx3_raw,std,timestamp,Time
3.9336915810434507,31,11,46722388.65244276,55645342.22339247,55956875.891832136,47033948.644804694,57495593.84055008,48572666.955484614,-86.07319641113281,-86.69249725341797,-0.3883000016212463,0.4366999864578247,[0. 0. 0.],[0. 0. 0. 1.],7.134872913579898,-3.1027727129268214,"(31, 11)",311560.2463942319,311533.2500751242,1538718.3869190738,1538717.9487179443,4.032100200653076,-3.1027727129268214,46722388.6343149,55956875.813802086,57495593.76252003,55645342.56372696,47033948.880709134,48572667.26762821,0.19293683161219147,1770934347.4846005,1770934347.4846005
2.268186186495991,20,1,33560954.419780806,37948621.675682984,38255505.70063592,33867854.44899817,39794223.64935387,35406576.74994965,-90.20490264892578,-89.94730377197266,-2.948499917984009,2.774399995803833,[0. 0. 0.],[0. 0. 0. 1.],5.378421035517765,-3.0484211118117104,"(20, 1)",306900.24351461977,306883.8266225979,1538722.2994290888,1538717.9487179518,2.3299999237060547,-3.0484211118117104,33560954.33944311,38255505.62149439,39794223.57021234,37948621.79487179,33867854.58295773,35406576.88238682,0.18350125448204563,1770934347.7436445,1770934347.7436445
2.5747404370597344,21,1,30163374.50113423,36160856.56907539,36465986.469866686,30468521.51605534,38004704.41858464,32007239.12265501,-82.98179626464844,-83.00330352783203,0.1544999927282333,-0.6704999804496765,[0. 0. 0.],[0. 0. 0. 1.],5.464760744195486,-2.700460636239553,"(21, 1)",305147.8615785241,305129.5353816077,1538717.3383663855,1538717.9487179518,2.7643001079559326,-2.700460636239553,30163374.211237982,36465986.39072516,38004704.33944311,36160856.85534355,30468522.072816506,32007239.41118289,0.18910990792180013,1770934347.8054662,1770934347.8054662
2.9007129647780188,30,1,25652613.14639855,31532475.672274742,31836635.508328225,25956792.57488938,33375353.457046174,27495511.713250924,-83.5708999633789,-83.63829803466797,-0.7357000112533569,0.6974999904632568,[0. 0. 0.],[0. 0. 0. 1.],5.318561597208403,-2.2647614911598186,"(30, 1)",304180.01615084335,304159.42069811746,1538719.044220753,1538717.948717948,3.053800106048584,-2.2647614911598186,25652612.993289262,31836635.429186698,33375353.377904646,31532476.00848858,25956793.009440105,27495512.05366086,0.19746346625673983,1770934347.8680396,1770934347.8680396
2.8401635638702523,31,1,492711795.70372474,26867399.64376124,27171475.25191797,493015890.71056443,28710193.200635917,24039739.11861288,-87.42790222167969,-87.37989807128906,-2.036799907684326,1.7574000358581543,[0. 0. 0.],[0. 0. 0. 1.],5.403218332373771,-2.479918304526481,"(31, 1)",304095.2242337465,304075.2547826506,-468976151.5142978,1538717.948717948,2.92330002784729,-2.479918304526481,492711795.6855969,27171475.172776442,28710193.12149439,26867399.91799379,493015890.90983063,24039739.395532854,0.1884956536651523,1770934347.930632,1770934347.930632
5.188350608352433,20,2,280497797.36849874,13659477.892097633,13966339.041343044,280804695.21499646,15505056.990060993,13477782.53748758,-90.1352996826172,-89.5154037475586,-7.086400032043457,6.4969000816345215,[0. 0. 0.],[0. 0. 0. 1.],5.780256972993651,-0.5238568646562483,"(20, 2)",306898.08380907774,306860.93061398156,-267326912.6696464,1538717.948717948,5.256400108337402,-0.5238568646562483,280497797.28816104,13966338.954827724,15505056.903545672,13659478.024213742,280804695.3719701,13477782.702323718,0.18363259260531908,1770934347.9869614,1770934347.9869614
4.875126203800768,21,2,272157124.5011342,6929155.978223686,7235874.297753301,272463876.4348208,8774592.24647125,5136958.7812594585,-87.74669647216797,-88.66500091552734,-3.738300085067749,3.381599903106689,[0. 0. 0.],[0. 0. 0. 1.],6.2983455293594135,-1.2487454050002826,"(21, 2)",306752.6949368715,306717.967497997,-267326917.9124098,1538717.948717949,5.049600124359131,-1.2487454050002826,272157124.21123797,7235874.211237981,8774592.15995593,6929156.243739984,272463876.90617484,5136958.9937650245,0.18608848163296776,1770934348.0473604,1770934348.0473604
5.347027304843736,30,2,269646275.0053729,4300182.934377346,4604960.8362148395,269951090.01665545,6143678.784932788,2624174.1452565575,-86.26100158691406,-86.53250122070312,-5.051400184631348,4.324100017547607,[0. 0. 0.],[0. 0. 0. 1.],5.370857095168491,0.12824311311397985,"(30, 2)",304815.5799279213,304777.4720803285,-267326915.95615482,1538717.948717949,5.499100208282471,0.12824311311397985,269646274.85226357,4604960.749699519,6143678.698417468,4300183.2776191905,269951090.4321915,2624174.4760366585,0.19282704079688792,1770934348.11202,1770934348.11202
5.613128069846483,31,2,734706058.5242376,64851626.87049733,65158879.10544561,735013349.9029305,66697597.05416356,64387973.729779184,-92.0644989013672,-92.51270294189452,-5.9446001052856445,5.468699932098389,[0. 0. 0.],[0. 0. 0. 1.],5.909298044654857,-0.2851978363723866,"(31, 2)",307291.33801579475,307252.10336538404,-670625376.0861127,1538717.9487179518,5.624100208282471,-0.2851978363723866,734706058.5061097,65158879.018930286,66697596.96764824,64851626.9155649,735013349.8441255,64387973.758012824,0.18402689948259648,1770934348.1726143,1770934348.1726143
8.372693921308999,20,3,504492060.1890115,28163058.36439203,28469848.6695066,504798906.4188398,30008566.61822455,35822752.83026021,-99.69869995117188,-99.89299774169922,-0.6015999913215637,0.067900002002716,[0. 0. 0.],[0. 0. 0. 1.],8.333480663273496,0.032719783809023184,"(20, 3)",306846.1882762313,306790.3019831702,-468976153.56445307,1538717.9487179518,8.36620044708252,0.032719783809023184,504492060.1086738,28469848.570212338,30008566.51893029,28163058.268229168,504798906.29695004,35822752.73249699,0.1890228864526326,1770934348.2244494,1770934348.2244494
